Ste,Et,Cpt gen.,Nat,Auxiliaire,Libelle CG,Libelle(suite),Exer,Pr,Dt piece,Chrono,n[piece,Jrn,Type,Libelle 1,Libelle 2,Et Pce,Nat pie,N[audit,Jrn ref,Refer,Echeance,MR,Nat,Cpt ana,Nat ana -2-,  Compte analytique   rang 2,Nat ana -3-,  Compte analytique   rang 3,Debit,Credit,Solde,Dev,L,L/P,n[conso,Cg c/partie,Cte Auxil c/partie,Reg TVA,Tx TVA,Debit devise,credit devise,Solde Dev.,Dev
1,,440000,FOU,63645,FOURNISSEURS MARCHANDISES,,2018,5,23/02/2018,10226,8050053,NCM,AVOIF,684,,1,0,,NCM,684,23/02/2018,MA,,,,,,,"378,99",,"378,99",EUR,,0,0,604100,,,0,"378,99",,"378,99",EUR
1,,440000,FOU,63645,FOURNISSEURS MARCHANDISES,,2018,5,28/02/2018,93837,142,ACM,FACTF,10245,,1,0,,ACM,142,15/02/2018,MA,,,,,,,,"14,55","-14,55",EUR,,0,0,604900,,,0,,"14,55","-14,55",EUR
1,,440000,FOU,64010,FOURNISSEURS MARCHANDISES,,2018,5,26/02/2018,93363,134,ACM,FACTF,20180818,,1,0,,PCG,27297,22/02/2018,SE,,,,,,,,"121,99","-121,99",EUR,,0,0,604000,,,0,,"121,99","-121,99",EUR
1,,440000,FOU,64010,FOURNISSEURS MARCHANDISES,,2018,5,28/02/2018,93873,121,ACM,FACTF,20180816,,1,0,,PCG,27297,22/02/2018,SE,,,,,,,,"135,59","-135,59",EUR,,0,0,490810,,,0,,"135,59","-135,59",EUR
1,,440000,FOU,64350,FOURNISSEURS MARCHANDISES,,2018,5,28/02/2018,93831,433,ACM,FACTF,8223362,,1,0,,PBN,27198,25/03/2018,SE,,,,,,,,"133,92","-133,92",EUR,,0,0,490810,,,0,,"133,92","-133,92",EUR
1,,440000,FOU,77326,FOURNISSEURS MARCHANDISES,,2018,5,28/02/2018,93864,605,ACM,FACTF,8334798276295,,1,0,,PBN,27245,28/04/2018,SE,,,,,,,,"2060,2","-2060,2",EUR,,0,0,604200,,,0,,"2060,2","-2060,2",EUR
1,,440000,FOU,77640,FOURNISSEURS MARCHANDISES,,2018,5,28/02/2018,93648,80,ACM,FACTF,180205069,,1,0,,PCG,27332,12/02/2018,SE,,,,,,,,"1151,79","-1151,79",EUR,,0,0,604000,,,0,,"1151,79","-1151,79",EUR
1,,440000,FOU,79100,FOURNISSEURS MARCHANDISES,,2018,5,28/02/2018,93841,56,ACM,FACTF,RI18000240,,1,0,,PCG,27334,04/03/2018,SE,,,,,,,,"3138,53","-3138,53",EUR,,0,0,604000,,,0,,"3138,53","-3138,53",EUR
1,,440000,FOU,79100,FOURNISSEURS MARCHANDISES,,2018,5,28/02/2018,93849,494,ACM,FACTF,RI18000381,,1,0,,PCG,27334,25/03/2018,SE,,,,,,,,"1186,9","-1186,9",EUR,,0,0,604000,,,0,,"1186,9","-1186,9",EUR
1,,440000,FOU,79105,FOURNISSEURS MARCHANDISES,,2018,5,23/02/2018,93314,71,ACM,FACTF,5120118536,,1,0,,ACM,71,15/03/2018,VM,,,,,,,,"30,42","-30,42",EUR,,0,0,604000,,,0,,"30,42","-30,42",EUR
1,,440000,FOU,82540,FOURNISSEURS MARCHANDISES,,2018,5,28/02/2018,93703,583,ACM,FACTF,9886,,1,0,,PBN,27275,29/04/2018,SE,,,,,,,,"2595,33","-2595,33",EUR,,0,0,604900,,,0,,"2595,33","-2595,33",EUR
1,,440000,FOU,60390,FOURNISSEURS MARCHANDISES,,2018,6,31/03/2018,94393,557,ACM,FACTF,2018198,,1,0,,PBN,27177,26/04/2018,SE,,,,,,,,"754,02","-754,02",EUR,,0,0,604000,,,0,,"754,02","-754,02",EUR
1,,440000,FOU,60390,FOURNISSEURS MARCHANDISES,,2018,6,31/03/2018,94493,629,ACM,FACTF,2018205,,1,0,,PBN,27177,26/04/2018,SE,,,,,,,,"2688,02","-2688,02",EUR,,0,0,604000,,,0,,"2688,02","-2688,02",EUR
1,,440000,FOU,61400,FOURNISSEURS MARCHANDISES,,2018,6,31/03/2018,94309,481,ACM,FACTF,18029,,1,0,,PBN,27179,30/04/2018,SE,,,,,,,,"128,09","-128,09",EUR,,0,0,604000,,,0,,"128,09","-128,09",EUR
1,,440000,FOU,61400,FOURNISSEURS MARCHANDISES,,2018,6,31/03/2018,94310,482,ACM,FACTF,18030,,1,0,,PBN,27179,30/04/2018,SE,,,,,,,,"1512,5","-1512,5",EUR,,0,0,604000,,,0,,"1512,5","-1512,5",EUR
1,,440000,FOU,61604,FOURNISSEURS MARCHANDISES,,2018,6,31/03/2018,94381,505,ACM,FACTF,20180085,,1,0,,PBN,27180,27/04/2018,SE,,,,,,,,"179,75","-179,75",EUR,,0,0,604000,,,0,,"179,75","-179,75",EUR
1,,440000,FOU,61608,FOURNISSEURS MARCHANDISES,,2018,6,31/03/2018,94502,643,ACM,FACTF,18172529,,1,0,,PBN,27181,28/04/2018,SE,,,,,,,,"365,9","-365,9",EUR,,0,0,604000,,,0,,"365,9","-365,9",EUR
1,,440000,FOU,61645,FOURNISSEURS MARCHANDISES,,2018,6,19/03/2018,10266,8060027,NCM,AVOIF,10001361,ASP INTERNATIONAL,1,0,,PBN,27182,19/03/2018,SE,,,,,,,"65,68",,"65,68",EUR,,0,0,490810,,,0,"65,68",,"65,68",EUR
1,,440000,FOU,61645,FOURNISSEURS MARCHANDISES,,2018,6,31/03/2018,94408,612,ACM,FACTF,17001831,,1,0,,PBN,27182,30/04/2018,SE,,,,,,,,"2284,26","-2284,26",EUR,,0,0,604000,,,0,,"2284,26","-2284,26",EUR
1,,440000,FOU,61645,FOURNISSEURS MARCHANDISES,,2018,6,31/03/2018,94409,613,ACM,FACTF,17001832,,1,0,,PCG,27287,30/04/2018,SE,,,,,,,,"639,79","-639,79",EUR,,0,0,604000,,,0,,"639,79","-639,79",EUR
1,,440000,FOU,61712,FOURNISSEURS MARCHANDISES,,2018,6,31/03/2018,94451,569,ACM,FACTF,B201803002,,1,0,,PBN,27183,27/04/2018,SE,,,,,,,,"18,15","-18,15",EUR,,0,0,604100,,,0,,"18,15","-18,15",EUR
1,,440000,FOU,61712,FOURNISSEURS MARCHANDISES,,2018,6,31/03/2018,94460,609,ACM,FACTF,B201803003,,1,0,,PBN,27183,29/04/2018,SE,,,,,,,,"354,78","-354,78",EUR,,0,0,604100,,,0,,"354,78","-354,78",EUR
1,,440000,FOU,61800,FOURNISSEURS MARCHANDISES,,2018,6,08/03/2018,581,8060001,NC,AVOIF,1046420274,NESTLE PURINA PET CA,1,0,,NC,1046420,08/03/2018,VM,,,,,,,"837,17",,"837,17",EUR,,0,0,744200,,,0,"837,17",,"837,17",EUR
1,,440000,FOU,61800,FOURNISSEURS MARCHANDISES,,2018,6,31/03/2018,94330,551,ACM,FACTF,1046429724,,1,0,,ACM,551,30/04/2018,VM,,,,,,,,"5095,54","-5095,54",EUR,,0,0,604000,,,0,,"5095,54","-5095,54",EUR
1,,440000,FOU,61851,FOURNISSEURS MARCHANDISES,,2018,6,27/03/2018,10291,8060052,NCM,AVOIF,2018/036,NEW MOSAN,1,0,,PBN,27184,27/03/2018,SE,,,,,,,121,,121,EUR,,0,0,604000,,,0,121,,121,EUR
1,,440000,FOU,61851,FOURNISSEURS MARCHANDISES,,2018,6,31/03/2018,94333,556,ACM,FACTF,2018035,,1,0,,PBN,27184,26/04/2018,SE,,,,,,,,"217,8","-217,8",EUR,,0,0,604000,,,0,,"217,8","-217,8",EUR
1,,440000,FOU,61920,FOURNISSEURS MARCHANDISES,,2018,6,21/03/2018,93883,11,ACM,FACTF,80029,,1,0,,PBN,27185,30/04/2018,SE,,,,,,,,"4555,13","-4555,13",EUR,,0,0,604100,,,0,,"4555,13","-4555,13",EUR
1,,440000,FOU,61920,FOURNISSEURS MARCHANDISES,,2018,6,29/03/2018,94113,290,ACM,FACTF,80172,,1,0,,PBN,27185,30/04/2018,SE,,,,,,,,"4228,19","-4228,19",EUR,,0,0,604100,,,0,,"4228,19","-4228,19",EUR
1,,440000,FOU,61920,FOURNISSEURS MARCHANDISES,,2018,6,29/03/2018,94128,341,ACM,FACTF,80365,,1,0,,PBN,27185,30/04/2018,SE,,,,,,,,"4575,3","-4575,3",EUR,,0,0,604100,,,0,,"4575,3","-4575,3",EUR
1,,440000,FOU,61920,FOURNISSEURS MARCHANDISES,,2018,6,31/03/2018,94461,635,ACM,FACTF,80643,,1,0,,PBN,27185,30/04/2018,SE,,,,,,,,20000,-20000,EUR,,0,0,604100,,,0,,20000,-20000,EUR
1,,440000,FOU,61920,FOURNISSEURS MARCHANDISES,,2018,6,31/03/2018,94490,619,ACM,FACTF,80433,,1,0,,PBN,27185,30/04/2018,SE,,,,,,,,"4541,67","-4541,67",EUR,,0,0,604100,,,0,,"4541,67","-4541,67",EUR
1,,440000,FOU,61920,FOURNISSEURS MARCHANDISES,,2018,6,31/03/2018,94496,636,ACM,FACTF,80641,,1,0,,PBN,27185,30/04/2018,SE,,,,,,,,"4361,52","-4361,52",EUR,,0,0,604100,,,0,,"4361,52","-4361,52",EUR
1,,440000,FOU,62600,FOURNISSEURS MARCHANDISES,,2018,6,31/03/2018,94350,588,ACM,FACTF,818A039254,,1,0,,PBN,27187,28/04/2018,SE,,,,,,,,"402,15","-402,15",EUR,,0,0,604000,,,0,,"402,15","-402,15",EUR
1,,440000,FOU,62600,FOURNISSEURS MARCHANDISES,,2018,6,31/03/2018,94372,440,ACM,FACTF,818A038869,,1,0,,PBN,27187,25/04/2018,SE,,,,,,,,"55071,81","-55071,81",EUR,,0,0,604000,,,0,,"55071,81","-55071,81",EUR
1,,440000,FOU,62600,FOURNISSEURS MARCHANDISES,,2018,6,31/03/2018,94382,506,ACM,FACTF,818A039093,,1,0,,PBN,27187,27/04/2018,SE,,,,,,,,"2815,08","-2815,08",EUR,,0,0,604000,,,0,,"2815,08","-2815,08",EUR
1,,440000,FOU,62685,FOURNISSEURS MARCHANDISES,,2018,6,13/03/2018,3664,51,DEX,ODTRE,201803131313215,PI Z1029614 001,1,0,,DEX,51,13/03/2018,,,,,,,,"515,4",,"515,4",EUR,,0,0,550050,,,0,"515,4",,"515,4",EUR
1,,440000,FOU,62758,FOURNISSEURS MARCHANDISES,,2018,6,23/03/2018,10278,8060039,NCM,AVOIF,5710001349,,1,0,,%NB,87943,23/03/2018,SE,,,,,,,"45,06",,"45,06",EUR,,0,0,657001,,,0,"45,06",,"45,06",EUR
1,,440000,FOU,62758,FOURNISSEURS MARCHANDISES,,2018,6,28/03/2018,4715,62,BBL,ODTRE,2000000576,5710001349 001,1,0,,BBL,62,28/03/2018,,,,,,,,"45,06",,"45,06",EUR,,0,0,550000,,,0,"45,06",,"45,06",EUR
1,,440000,FOU,62758,FOURNISSEURS MARCHANDISES,,2018,6,30/03/2018,94228,365,ACM,FACTF,5710001277,,1,0,,ACM,365,03/04/2018,SE,,,,,,,,"149,24","-149,24",EUR,,0,0,604100,,,0,,"149,24","-149,24",EUR
1,,440000,FOU,62782,FOURNISSEURS MARCHANDISES,,2018,6,31/03/2018,94417,507,ACM,FACTF,135348669,,1,0,,PBN,27189,27/04/2018,SE,,,,,,,,"1715,66","-1715,66",EUR,,0,0,604000,,,0,,"1715,66","-1715,66",EUR
1,,440000,FOU,63550,FOURNISSEURS MARCHANDISES,,2018,6,31/03/2018,94375,460,ACM,FACTF,17702037,,1,0,,PBN,27192,25/04/2018,SE,,,,,,,,"926,21","-926,21",EUR,,0,0,604000,,,0,,"926,21","-926,21",EUR
1,,440000,FOU,63556,FOURNISSEURS MARCHANDISES,,2018,6,23/03/2018,93979,180,ACM,FACTF,2017002917,,1,0,,PBN,27193,30/04/2018,SE,,,,,,,,"190,8","-190,8",EUR,,0,0,604000,,,0,,"190,8","-190,8",EUR
1,,440000,FOU,63888,FOURNISSEURS MARCHANDISES,,2018,6,31/03/2018,94545,414,ACM,FACTF,FA1801888,,1,0,,ACM,414,20/05/2018,SE,,,,,,,,"131,04","-131,04",EUR,,0,0,604100,,,0,,"131,04","-131,04",EUR
1,,440000,FOU,64275,FOURNISSEURS MARCHANDISES,,2018,6,31/03/2018,94407,597,ACM,FACTF,160304,,1,0,,PBN,27197,29/04/2018,SE,,,,,,,,"567,48","-567,48",EUR,,0,0,613136,,,0,,"567,48","-567,48",EUR
1,,440000,FOU,64275,FOURNISSEURS MARCHANDISES,,2018,6,31/03/2018,94541,655,ACM,FACTF,160398,DOPHARMA VETERINAIRE,1,0,,PBN,27197,30/04/2018,SE,,,,,,,,"7,38","-7,38",EUR,,0,0,613136,,,0,,"7,38","-7,38",EUR
1,,440000,FOU,64355,FOURNISSEURS MARCHANDISES,,2018,6,31/03/2018,94492,626,ACM,FACTF,4670,,1,0,,PBN,27199,26/04/2018,SE,,,,,,,,"1393,94","-1393,94",EUR,,0,0,604000,,,0,,"1393,94","-1393,94",EUR
1,,440000,FOU,64460,FOURNISSEURS MARCHANDISES,,2018,6,31/03/2018,94371,438,ACM,FACTF,F180076,,1,0,,PBN,27200,25/04/2018,SE,,,,,,,,"873,26","-873,26",EUR,,0,0,604000,,,0,,"873,26","-873,26",EUR
1,,440000,FOU,64460,FOURNISSEURS MARCHANDISES,,2018,6,31/03/2018,94395,561,ACM,FACTF,F180079,,1,0,,PBN,27200,27/04/2018,SE,,,,,,,,"507,18","-507,18",EUR,,0,0,604000,,,0,,"507,18","-507,18",EUR
