id,name,color
__setup__.account_analytic_tag_MET_EXPED,EXPEDIER,7
__setup__.account_analytic_tag_MET_FINAN,FINANCER,7
__setup__.account_analytic_tag_MET_PREND,PRENDRE DES COMMANDES,7
__setup__.account_analytic_tag_MET_FACTU,FACTURER,7
__setup__.account_analytic_tag_MET_APPRO,APPROVISIONNER,7
__setup__.account_analytic_tag_MET_ASSAV,ASSURER SAV,7
__setup__.account_analytic_tag_MET_CONSE,CONSEILLER TECHNIQUE,7
__setup__.account_analytic_tag_MET_RECEP,RECEPTIONNER,7
__setup__.account_analytic_tag_MET_PREPA,PREPARER,7
__setup__.account_analytic_tag_MET_REFER,REFERENCER PRODUITS,7
__setup__.account_analytic_tag_MET_SUIVR,SUIVRE CLIENT,7
__setup__.account_analytic_tag_SER_DIVERS_NON_AFFECTE,DIVERS NON AFFECTE,6
__setup__.account_analytic_tag_SER_SUPPORT,SUPPORT,6
__setup__.account_analytic_tag_SER_LOGISTIQUE,LOGISTIQUE,6
__setup__.account_analytic_tag_SER_SERVICE CLIENT,SERVICE CLIENT,6
__setup__.account_analytic_tag_SER_METIERS,METIERS,6
__setup__.account_analytic_tag_MET_VEHICULE,VEHICULE,4
__setup__.account_analytic_tag_MET_PERSONNEL,PERSONNEL,4
__setup__.account_analytic_tag_MET_INTERIM,INTERIM,4
