id,product_id/id,name,life_date,checksum,removal_date,alert_date
__import__.stock_production_lot_180209_8000092,__import__.product_8000092,180209,2023-01-31 00:00:00,628,2023-01-01 00:00:00,2022-11-02 00:00:00
__import__.stock_production_lot_180530_8000092,__import__.product_8000092,180530,2023-04-30 00:00:00,727,2023-03-31 00:00:00,2023-01-30 00:00:00
__import__.stock_production_lot_180124_8000100,__import__.product_8000100,180124,2022-12-31 00:00:00,783,2022-12-01 00:00:00,2022-10-02 00:00:00
__import__.stock_production_lot_180625_8000100,__import__.product_8000100,180625,2023-05-31 00:00:00,502,2023-05-01 00:00:00,2023-03-02 00:00:00
__import__.stock_production_lot_180503_8000117,__import__.product_8000117,180503,2023-04-30 00:00:00,645,2023-03-31 00:00:00,2023-01-30 00:00:00
__import__.stock_production_lot_180506_8000117,__import__.product_8000117,180506,2023-04-30 00:00:00,446,2023-03-31 00:00:00,2023-01-30 00:00:00
__import__.stock_production_lot_170206_8000123,__import__.product_8000123,170206,2022-01-31 00:00:00,502,2022-01-01 00:00:00,2021-11-02 00:00:00
__import__.stock_production_lot_180305_8000146,__import__.product_8000146,180305,2023-02-28 00:00:00,686,2023-01-29 00:00:00,2022-11-30 00:00:00
__import__.stock_production_lot_180420_8000152,__import__.product_8000152,180420,2023-03-31 00:00:00,225,2023-03-01 00:00:00,2022-12-31 00:00:00
__import__.stock_production_lot_170708_8000154,__import__.product_8000154,170708,2022-06-30 00:00:00,131,2022-05-31 00:00:00,2022-04-01 00:00:00
__import__.stock_production_lot_171133_8000154,__import__.product_8000154,171133,2022-10-31 00:00:00,582,2022-10-01 00:00:00,2022-08-02 00:00:00
__import__.stock_production_lot_170613_8000169,__import__.product_8000169,170613,2022-05-31 00:00:00,716,2022-05-01 00:00:00,2022-03-02 00:00:00
__import__.stock_production_lot_180103_8000169,__import__.product_8000169,180103,2022-12-31 00:00:00,306,2022-12-01 00:00:00,2022-10-02 00:00:00
__import__.stock_production_lot_180412_8000169,__import__.product_8000169,180412,2023-03-31 00:00:00,591,2023-03-01 00:00:00,2022-12-31 00:00:00
__import__.stock_production_lot_180113_8000175,__import__.product_8000175,180113,2022-12-31 00:00:00,956,2022-12-01 00:00:00,2022-10-02 00:00:00
__import__.stock_production_lot_180315_8000175,__import__.product_8000175,180315,2023-02-28 00:00:00,108,2023-01-29 00:00:00,2022-11-30 00:00:00
__import__.stock_production_lot_180527_8000175,__import__.product_8000175,180527,2023-04-30 00:00:00,812,2023-03-31 00:00:00,2023-01-30 00:00:00
__import__.stock_production_lot_180716_8000175,__import__.product_8000175,180716,2023-06-30 00:00:00,608,2023-05-31 00:00:00,2023-04-01 00:00:00
__import__.stock_production_lot_171104_8000181,__import__.product_8000181,171104,2022-10-31 00:00:00,286,2022-10-01 00:00:00,2022-08-02 00:00:00
__import__.stock_production_lot_180108_8000181,__import__.product_8000181,180108,2022-12-31 00:00:00,466,2022-12-01 00:00:00,2022-10-02 00:00:00
__import__.stock_production_lot_180702_8000181,__import__.product_8000181,180702,2023-06-30 00:00:00,365,2023-05-31 00:00:00,2023-04-01 00:00:00
__import__.stock_production_lot_171218_8000198,__import__.product_8000198,171218,2022-11-30 00:00:00,445,2022-10-31 00:00:00,2022-09-01 00:00:00
__import__.stock_production_lot_180523_8000198,__import__.product_8000198,180523,2023-04-30 00:00:00,834,2023-03-31 00:00:00,2023-01-30 00:00:00
__import__.stock_production_lot_171126_8000206,__import__.product_8000206,171126,2022-10-31 00:00:00,896,2022-10-01 00:00:00,2022-08-02 00:00:00
__import__.stock_production_lot_1403004_8000287,__import__.product_8000287,1403004,2019-02-28 00:00:00,367,2019-01-29 00:00:00,2018-11-30 00:00:00
__import__.stock_production_lot_080914FG_8000583,__import__.product_8000583,080914FG,2019-10-31 00:00:00,181,2019-10-01 00:00:00,2019-08-02 00:00:00
__import__.stock_production_lot_7265220_8000614,__import__.product_8000614,7265220,2022-09-30 00:00:00,643,2022-08-31 00:00:00,2022-07-02 00:00:00
__import__.stock_production_lot_7324307_8000614,__import__.product_8000614,7324307,2022-11-30 00:00:00,333,2022-10-31 00:00:00,2022-09-01 00:00:00
__import__.stock_production_lot_8078415_8000614,__import__.product_8000614,8078415,2023-03-31 00:00:00,824,2023-03-01 00:00:00,2022-12-31 00:00:00
__import__.stock_production_lot_7293479_8000620,__import__.product_8000620,7293479,2022-10-31 00:00:00,903,2022-10-01 00:00:00,2022-08-02 00:00:00
__import__.stock_production_lot_7236389_8000637,__import__.product_8000637,7236389,2022-08-31 00:00:00,677,2022-08-01 00:00:00,2022-06-02 00:00:00
__import__.stock_production_lot_7324313_8000637,__import__.product_8000637,7324313,2022-11-30 00:00:00,592,2022-10-31 00:00:00,2022-09-01 00:00:00
__import__.stock_production_lot_8082121_8000637,__import__.product_8000637,8082121,2023-03-31 00:00:00,946,2023-03-01 00:00:00,2022-12-31 00:00:00
__import__.stock_production_lot_7265216_8000666,__import__.product_8000666,7265216,2022-09-30 00:00:00,829,2022-08-31 00:00:00,2022-07-02 00:00:00
__import__.stock_production_lot_7356234_8000666,__import__.product_8000666,7356234,2022-12-31 00:00:00,219,2022-12-01 00:00:00,2022-10-02 00:00:00
__import__.stock_production_lot_8018411_8000666,__import__.product_8000666,8018411,2023-01-31 00:00:00,278,2023-01-01 00:00:00,2022-11-02 00:00:00
__import__.stock_production_lot_504815Q_8000672,__import__.product_8000672,504815Q,2020-02-28 00:00:00,885,2020-01-29 00:00:00,2019-11-30 00:00:00
__import__.stock_production_lot_6077288_8000689,__import__.product_8000689,6077288,2021-03-31 00:00:00,486,2021-03-01 00:00:00,2020-12-31 00:00:00
__import__.stock_production_lot_7111364_8000689,__import__.product_8000689,7111364,2022-04-30 00:00:00,138,2022-03-31 00:00:00,2022-01-30 00:00:00
__import__.stock_production_lot_070318FL_8000896,__import__.product_8000896,070318FL,2023-03-07 00:00:00,782,2023-02-05 00:00:00,2022-12-07 00:00:00
__import__.stock_production_lot_120618FL_8000896,__import__.product_8000896,120618FL,2023-06-12 00:00:00,212,2023-05-13 00:00:00,2023-03-14 00:00:00
__import__.stock_production_lot_150118FL_8000910,__import__.product_8000910,150118FL,2023-01-15 00:00:00,408,2022-12-16 00:00:00,2022-10-17 00:00:00
__import__.stock_production_lot_120417FL_8000927,__import__.product_8000927,120417FL,2022-04-12 00:00:00,538,2022-03-13 00:00:00,2022-01-12 00:00:00
__import__.stock_production_lot_060717FL_8000956,__import__.product_8000956,060717FL,2022-07-06 00:00:00,208,2022-06-06 00:00:00,2022-04-07 00:00:00
__import__.stock_production_lot_080218FL_8000956,__import__.product_8000956,080218FL,2023-02-08 00:00:00,313,2023-01-09 00:00:00,2022-11-10 00:00:00
__import__.stock_production_lot_170817FL_8000956,__import__.product_8000956,170817FL,2022-08-17 00:00:00,873,2022-07-18 00:00:00,2022-05-19 00:00:00
__import__.stock_production_lot_250418FL_8000956,__import__.product_8000956,250418FL,2023-04-25 00:00:00,367,2023-03-26 00:00:00,2023-01-25 00:00:00
__import__.stock_production_lot_11224478BM_8001915,__import__.product_8001915,11224478BM,2019-07-31 00:00:00,142,2019-07-01 00:00:00,2019-05-02 00:00:00
__import__.stock_production_lot_TA09535_8001938,__import__.product_8001938,TA09535,2022-01-31 00:00:00,175,2022-01-01 00:00:00,2021-11-02 00:00:00
__import__.stock_production_lot_05320_8001938,__import__.product_8001938,05320,2021-05-31 00:00:00,554,2021-05-01 00:00:00,2021-03-02 00:00:00
__import__.stock_production_lot_18A2992054_8001944,__import__.product_8001944,18A2992054,2021-01-31 00:00:00,115,2021-01-01 00:00:00,2020-11-02 00:00:00
__import__.stock_production_lot_18B1692049_8001944,__import__.product_8001944,18B1692049,2021-02-28 00:00:00,835,2021-01-29 00:00:00,2020-11-30 00:00:00
__import__.stock_production_lot_18C2492042_8001944,__import__.product_8001944,18C2492042,2021-03-31 00:00:00,320,2021-03-01 00:00:00,2020-12-31 00:00:00
__import__.stock_production_lot_18F2392043_8001944,__import__.product_8001944,18F2392043,2021-06-30 00:00:00,435,2021-05-31 00:00:00,2021-04-01 00:00:00
__import__.stock_production_lot_05347_8001950,__import__.product_8001950,05347,2021-06-30 00:00:00,009,2021-05-31 00:00:00,2021-04-01 00:00:00
__import__.stock_production_lot_1802271_8002263,__import__.product_8002263,1802271,2023-01-31 00:00:00,535,2023-01-01 00:00:00,2022-11-02 00:00:00
__import__.stock_production_lot_1805156_8002263,__import__.product_8002263,1805156,2023-04-30 00:00:00,555,2023-03-31 00:00:00,2023-01-30 00:00:00
__import__.stock_production_lot_1712227_8002286,__import__.product_8002286,1712227,2022-11-30 00:00:00,276,2022-10-31 00:00:00,2022-09-01 00:00:00
__import__.stock_production_lot_1804264_8002286,__import__.product_8002286,1804264,2023-03-31 00:00:00,627,2023-03-01 00:00:00,2022-12-31 00:00:00
__import__.stock_production_lot_1805271_8002286,__import__.product_8002286,1805271,2023-04-30 00:00:00,319,2023-03-31 00:00:00,2023-01-30 00:00:00
__import__.stock_production_lot_1801270_8002292,__import__.product_8002292,1801270,2022-12-31 00:00:00,310,2022-12-01 00:00:00,2022-10-02 00:00:00
__import__.stock_production_lot_1805275_8002292,__import__.product_8002292,1805275,2023-04-30 00:00:00,638,2023-03-31 00:00:00,2023-01-30 00:00:00
__import__.stock_production_lot_1710275_8002300,__import__.product_8002300,1710275,2022-09-30 00:00:00,419,2022-08-31 00:00:00,2022-07-02 00:00:00
__import__.stock_production_lot_1804265_8002300,__import__.product_8002300,1804265,2023-03-31 00:00:00,159,2023-03-01 00:00:00,2022-12-31 00:00:00
__import__.stock_production_lot_1805305_8002369,__import__.product_8002369,1805305,2023-04-30 00:00:00,816,2023-03-31 00:00:00,2023-01-30 00:00:00
__import__.stock_production_lot_1803292_8002381,__import__.product_8002381,1803292,2023-02-28 00:00:00,560,2023-01-29 00:00:00,2022-11-30 00:00:00
__import__.stock_production_lot_1806285_8002381,__import__.product_8002381,1806285,2023-05-31 00:00:00,405,2023-05-01 00:00:00,2023-03-02 00:00:00
__import__.stock_production_lot_180422L_8002470,__import__.product_8002470,180422L,2023-03-31 00:00:00,546,2023-03-01 00:00:00,2022-12-31 00:00:00
__import__.stock_production_lot_180424L_8002470,__import__.product_8002470,180424L,2023-03-31 00:00:00,210,2023-03-01 00:00:00,2022-12-31 00:00:00
__import__.stock_production_lot_171119M_8002487,__import__.product_8002487,171119M,2022-10-31 00:00:00,946,2022-10-01 00:00:00,2022-08-02 00:00:00
__import__.stock_production_lot_171214X_8002487,__import__.product_8002487,171214X,2022-11-30 00:00:00,945,2022-10-31 00:00:00,2022-09-01 00:00:00
__import__.stock_production_lot_171226X_8002487,__import__.product_8002487,171226X,2022-11-30 00:00:00,765,2022-10-31 00:00:00,2022-09-01 00:00:00
__import__.stock_production_lot_180115M_8002487,__import__.product_8002487,180115M,2022-12-31 00:00:00,175,2022-12-01 00:00:00,2022-10-02 00:00:00
__import__.stock_production_lot_180128M_8002487,__import__.product_8002487,180128M,2022-12-31 00:00:00,925,2022-12-01 00:00:00,2022-10-02 00:00:00
__import__.stock_production_lot_180131M_8002487,__import__.product_8002487,180131M,2022-12-31 00:00:00,230,2022-12-01 00:00:00,2022-10-02 00:00:00
