id,bin_location_id/id,product_id/id,location_id/id
__import__.product_stock_bin_4120104,__import__.location_loc_AA11A1,__import__.product_4120104_product_template,stock.stock_location_stock
__import__.product_stock_bin_5007025,__import__.location_loc_AA11A2,__import__.product_5007025_product_template,stock.stock_location_stock
__import__.product_stock_bin_5160123,__import__.location_loc_AA11A3,__import__.product_5160123_product_template,stock.stock_location_stock
__import__.product_stock_bin_5865029,__import__.location_loc_AA11B1,__import__.product_5865029_product_template,stock.stock_location_stock
__import__.product_stock_bin_5007740,__import__.location_loc_AA11B2,__import__.product_5007740_product_template,stock.stock_location_stock
__import__.product_stock_bin_4004133,__import__.location_loc_AA11B4,__import__.product_4004133_product_template,stock.stock_location_stock
__import__.product_stock_bin_5317739,__import__.location_loc_AA12A1,__import__.product_5317739_product_template,stock.stock_location_stock
__import__.product_stock_bin_5094113,__import__.location_loc_AA13A1,__import__.product_5094113_product_template,stock.stock_location_stock
__import__.product_stock_bin_5806139,__import__.location_loc_AA13A2,__import__.product_5806139_product_template,stock.stock_location_stock
__import__.product_stock_bin_5810039,__import__.location_loc_AA13A3,__import__.product_5810039_product_template,stock.stock_location_stock
__import__.product_stock_bin_5194103,__import__.location_loc_AA13B1,__import__.product_5194103_product_template,stock.stock_location_stock
__import__.product_stock_bin_4004130,__import__.location_loc_AA13B1,__import__.product_4004130_product_template,stock.stock_location_stock
__import__.product_stock_bin_5006025,__import__.location_loc_AB03A1,__import__.product_5006025_product_template,stock.stock_location_stock
__import__.product_stock_bin_4100004,__import__.location_loc_AB03A2,__import__.product_4100004_product_template,stock.stock_location_stock
__import__.product_stock_bin_5008025,__import__.location_loc_AB03A3,__import__.product_5008025_product_template,stock.stock_location_stock
__import__.product_stock_bin_5007223,__import__.location_loc_AB03A4,__import__.product_5007223_product_template,stock.stock_location_stock
__import__.product_stock_bin_4004131,__import__.location_loc_AB03B4,__import__.product_4004131_product_template,stock.stock_location_stock
__import__.product_stock_bin_4100005,__import__.location_loc_AB04A1,__import__.product_4100005_product_template,stock.stock_location_stock
__import__.product_stock_bin_5160107,__import__.location_loc_AB04A2,__import__.product_5160107_product_template,stock.stock_location_stock
__import__.product_stock_bin_5865030,__import__.location_loc_AB04B1,__import__.product_5865030_product_template,stock.stock_location_stock
__import__.product_stock_bin_5802099,__import__.location_loc_AB05A1,__import__.product_5802099_product_template,stock.stock_location_stock
__import__.product_stock_bin_5809183,__import__.location_loc_AB05A2,__import__.product_5809183_product_template,stock.stock_location_stock
