price,product_code,name/id,id,product_tmpl_id/id
5.10,C1 24,__import__.supplier_79193,__import__.supplierinfo_79193-0015305,__import__.product_0015305_product_template
3.00,,__import__.supplier_63195,__import__.supplierinfo_63195-0015735,__import__.product_0015735_product_template
3.65,,__import__.supplier_63195,__import__.supplierinfo_63195-0016097,__import__.product_0016097_product_template
0,,__import__.supplier_77666,__import__.supplierinfo_77666-0016188,__import__.product_0016188_product_template
64.72,,__import__.supplier_63195,__import__.supplierinfo_63195-0016261,__import__.product_0016261_product_template
3.64,,__import__.supplier_63195,__import__.supplierinfo_63195-0016311,__import__.product_0016311_product_template
2.09,,__import__.supplier_63195,__import__.supplierinfo_63195-0016501,__import__.product_0016501_product_template
6.04,,__import__.supplier_63195,__import__.supplierinfo_63195-0016634,__import__.product_0016634_product_template
0,,__import__.supplier_77340,__import__.supplierinfo_77340-0016832,__import__.product_0016832_product_template
5.23,,__import__.supplier_63195,__import__.supplierinfo_63195-0016980,__import__.product_0016980_product_template
1.02,,__import__.supplier_77666,__import__.supplierinfo_77666-0017000,__import__.product_0017000_product_template
7.92,,__import__.supplier_63195,__import__.supplierinfo_63195-0017004,__import__.product_0017004_product_template
1.47,,__import__.supplier_63195,__import__.supplierinfo_63195-0017005,__import__.product_0017005_product_template
2.68,,__import__.supplier_63195,__import__.supplierinfo_63195-0017301,__import__.product_0017301_product_template
4.12,,__import__.supplier_63195,__import__.supplierinfo_63195-0017566,__import__.product_0017566_product_template
4.44,,__import__.supplier_63195,__import__.supplierinfo_63195-0018028,__import__.product_0018028_product_template
31.49,"00,18,105",__import__.supplier_77370,__import__.supplierinfo_77370-0018105,__import__.product_0018105_product_template
1.82,,__import__.supplier_63195,__import__.supplierinfo_63195-0018234,__import__.product_0018234_product_template
0.85,3204601,__import__.supplier_79245,__import__.supplierinfo_79245-0018291,__import__.product_0018291_product_template
2.51,,__import__.supplier_63195,__import__.supplierinfo_63195-0018507,__import__.product_0018507_product_template
1.61,,__import__.supplier_63195,__import__.supplierinfo_63195-0018572,__import__.product_0018572_product_template
5.50,,__import__.supplier_63195,__import__.supplierinfo_63195-0018614,__import__.product_0018614_product_template
1.63,,__import__.supplier_63195,__import__.supplierinfo_63195-0018671,__import__.product_0018671_product_template
18.70,,__import__.supplier_63195,__import__.supplierinfo_63195-0018911,__import__.product_0018911_product_template
2.55,,__import__.supplier_63195,__import__.supplierinfo_63195-0019190,__import__.product_0019190_product_template
10.60,,__import__.supplier_63195,__import__.supplierinfo_63195-0019455,__import__.product_0019455_product_template
24.29,,__import__.supplier_63195,__import__.supplierinfo_63195-0019554,__import__.product_0019554_product_template
2.29,101618,__import__.supplier_63195,__import__.supplierinfo_63195-0019778,__import__.product_0019778_product_template
5.26,,__import__.supplier_63195,__import__.supplierinfo_63195-0019786,__import__.product_0019786_product_template
4.15,,__import__.supplier_63195,__import__.supplierinfo_63195-0020008,__import__.product_0020008_product_template
9.76,,__import__.supplier_32420,__import__.supplierinfo_32420-0020113,__import__.product_0020113_product_template
17.62,,__import__.supplier_32420,__import__.supplierinfo_32420-0020115,__import__.product_0020115_product_template
12.91,,__import__.supplier_32420,__import__.supplierinfo_32420-0020212,__import__.product_0020212_product_template
12.94,0020214,__import__.supplier_77320,__import__.supplierinfo_77320-0020214,__import__.product_0020214_product_template
5.26,,__import__.supplier_32420,__import__.supplierinfo_32420-0020400,__import__.product_0020400_product_template
4.68,,__import__.supplier_32420,__import__.supplierinfo_32420-0020410,__import__.product_0020410_product_template
12.61,,__import__.supplier_32420,__import__.supplierinfo_32420-0020412,__import__.product_0020412_product_template
3.93,0020537,__import__.supplier_63195,__import__.supplierinfo_63195-0020537,__import__.product_0020537_product_template
21.23,,__import__.supplier_32420,__import__.supplierinfo_32420-0020717,__import__.product_0020717_product_template
43.23,,__import__.supplier_32420,__import__.supplierinfo_32420-0020724,__import__.product_0020724_product_template
14.90,,__import__.supplier_32420,__import__.supplierinfo_32420-0020915,__import__.product_0020915_product_template
46.31,,__import__.supplier_32420,__import__.supplierinfo_32420-0020939,__import__.product_0020939_product_template
4.66,,__import__.supplier_63195,__import__.supplierinfo_63195-0021006,__import__.product_0021006_product_template
3.46,,__import__.supplier_63195,__import__.supplierinfo_63195-0021253,__import__.product_0021253_product_template
10.70,,__import__.supplier_32420,__import__.supplierinfo_32420-0021516,__import__.product_0021516_product_template
5.67,1543305,__import__.supplier_63195,__import__.supplierinfo_63195-0021519,__import__.product_0021519_product_template
1.74,,__import__.supplier_63195,__import__.supplierinfo_63195-0021667,__import__.product_0021667_product_template
7.64,,__import__.supplier_32420,__import__.supplierinfo_32420-0021830,__import__.product_0021830_product_template
