id,bic,name
__import__.bank_GEBABEBB,GEBABEBB,FINTRO
__import__.bank_GENODEF1TAV,GENODEF1TAV,VR-Bank Taufkirchen-Dorfen eG
__import__.bank_GENODEM1DST,GENODEM1DST,Volksbank Dorsten eG
__import__.bank_GENODE51DRE,GENODE51DRE,VOLKSBANK DREIEICH
__import__.bank_GENODE51MIC,GENODE51MIC,Volksbank Odenwald e.G
__import__.bank_GIBASKBX,GIBASKBX,Slovenska sporitelna
__import__.bank_GKCCBEBB,GKCCBEBB,belfius
__import__.bank_GKCCBEBB,GKCCBEBB,Belfius
__import__.bank_GKCCBEBB,GKCCBEBB,Belfius Bank Brussels
__import__.bank_GKCCBEBB,GKCCBEBB,Belfius Banque
__import__.bank_GKCCBEBB,GKCCBEBB,Belfius Banque et Assurances
__import__.bank_GKCCBEBB,GKCCBEBB,BELFIUS
__import__.bank_GKCCBEBB,GKCCBEBB,Dexia Banque Belgique
__import__.bank_GOPSDE6GXXX,GOPSDE6GXXX,KSK GÖPPINGEN
__import__.bank_HBKABE22,HBKABE22,Record Bank
__import__.bank_HBKABE22,HBKABE22,Recordbank
__import__.bank_HBUKGB4144A,HBUKGB4144A,HSBC BANK
__import__.bank_HSBCBEBB,HSBCBEBB,HSBC Bank
__import__.bank_HSBCBEBB,HSBCBEBB,HSBC BANK PLC
__import__.bank_HSBCNL2A,HSBCNL2A,HSBC BANK
__import__.bank_HYVEDEMM,HYVEDEMM,UNICREDIT BANK AG
__import__.bank_HYVEDEMMXXX,HYVEDEMMXXX,HypoVereinsbank
__import__.bank_INGBNL2A,INGBNL2A,ING
__import__.bank_INGBNL2A,INGBNL2A,ING Bank
__import__.bank_INGBNL2A,INGBNL2A,ING Bank B.V.
__import__.bank_INGBNL2A,INGBNL2A,ING BANK
__import__.bank_INGBNL2A,INGBNL2A,ING BANK NV
__import__.bank_JVBABE22,JVBABE22,Bank J. Van Breda & C°
__import__.bank_JVBABE22,JVBABE22,J VAN BREDA & C°
__import__.bank_KREDBEBB,KREDBEBB,cbc Banque
__import__.bank_KREDBEBB,KREDBEBB,KBC
__import__.bank_KREDBEBB,KREDBEBB,KBC Bank
__import__.bank_KREDBEBB,KREDBEBB,KBC Banque
__import__.bank_KREDBEBB,KREDBEBB,KBC BANK
__import__.bank_KREDBEBB,KREDBEBB,KCB
__import__.bank_LOYDGB21021,LOYDGB21021,LLOYDS BANK PLC
__import__.bank_LOYDGB21603,LOYDGB21603,LLOYDS TSB
__import__.bank_MIDLGB2116U,MIDLGB2116U,HSBC BANK PLC
__import__.bank_MIDLGB2144N,MIDLGB2144N,HSBC BANK
__import__.bank_MIDLGB22,MIDLGB22,HSBC Bank Plc
__import__.bank_MKKBHUHB,MKKBHUHB,MKB BANK
__import__.bank_NDEADKKK,NDEADKKK,NORDEA DK
__import__.bank_NDEASESS,NDEASESS,Nordea Bank Sverige AB
__import__.bank_NICABEBB,NICABEBB,Crédit Agricole
__import__.bank_NICABEBB,NICABEBB,Crédit Agricole S.A.- Groupe Crédit
__import__.bank_NICABEBB,NICABEBB,CRELAN
__import__.bank_NOLADE21ROS,NOLADE21ROS,OSTSEESPARKASSE ROSTOCK
__import__.bank_NOLADE21SHO,NOLADE21SHO,SPARKASSE SÜDHOLSTEIN
__import__.bank_NORDFRPP,NORDFRPP,Crédit du Nord
__import__.bank_NORDFRPP,NORDFRPP,Credit du Nord
__import__.bank_NORDFRPP,NORDFRPP,CREDIT DU NORD
__import__.bank_NWBKGB2L,NWBKGB2L,National Westminster Bank
__import__.bank_NWBKGB2L,NWBKGB2L,NATWEST NEWBURY BANK
__import__.bank_OTPVHUHB,OTPVHUHB,OTP BANK PLC.
__import__.bank_PASCITM1R11,PASCITM1R11,Banca Monte dei Paschi di Siena
__import__.bank_PASCITM1083,PASCITM1083,MONTE DEI PASCHI DI SIENA
__import__.bank_PBNKDEFF,PBNKDEFF,Deutsche Postbank AG
__import__.bank_PBNKDEFF,PBNKDEFF,DEUTCHE POSTBANK
__import__.bank_PBNKDEFF,PBNKDEFF,Postbank
__import__.bank_PBNKDEFF,PBNKDEFF,Postbank Karlsruhe
__import__.bank_PBNKDEFF,PBNKDEFF,POSTBANK FRANKFURT
__import__.bank_PCHQBEBB,PCHQBEBB,La Poste
__import__.bank_PSSTFRPPPAR,PSSTFRPPPAR,La Banque Postale
__import__.bank_PSSTFRPPROU,PSSTFRPPROU,CCP
__import__.bank_RABONL2U,RABONL2U,Rabo bank
__import__.bank_RABONL2U,RABONL2U,Rabo Bank
__import__.bank_RABONL2U,RABONL2U,Rabobank
__import__.bank_RABONL2U,RABONL2U,RABOBANK
__import__.bank_RABONL2U,RABONL2U,RABOBANK NEDERLAND
__import__.bank_RABONL2U,RABONL2U,RABOBANK NOORD DRENTHE
__import__.bank_RAIFCH22,RAIFCH22,RAIFFEISEN
__import__.bank_RBOSGB2L,RBOSGB2L,Royal Bank of Scotland plc
__import__.bank_RBOSGB2L,RBOSGB2L,The Royal Bank of Scotland
__import__.bank_RBOSGB2L,RBOSGB2L,THE ROYAL BANK OF SCOTLAND
__import__.bank_RVVGAT2B429,RVVGAT2B429,RAIFFEISENBANK GOETZIS
__import__.bank_RZBHHR2X,RZBHHR2X,RAIFFEISEN BANKA AUSTRIA d.d ZAGREB
__import__.bank_SARCIT2S,SARCIT2S,BANCA CR DI SAVIGLIANO SPA
__import__.bank_SGABBEB2,SGABBEB2,societe générale
__import__.bank_SOGEFRPP,SOGEFRPP,SG PARIS BERCY
__import__.bank_SOGEFRPP,SOGEFRPP,SOCIETE GENERALE
__import__.bank_SOLADES1LBG,SOLADES1LBG,Kreissparkasse Ludwigsburg
__import__.bank_SOLADES1TUT,SOLADES1TUT,Kreissparkasse Tuttlingen
__import__.bank_SOLADES1WBN,SOLADES1WBN,Kreissparkasse WAIBLINGEN
__import__.bank_SOLSDE33,SOLSDE33,Stadtsparkasse Sollingen
__import__.bank_SPAABE22,SPAABE22,CENTEA
__import__.bank_SPKHDE2HXXX,SPKHDE2HXXX,SPARKASSE HANNOVER
__import__.bank_SPNGAT21XXX,SPNGAT21XXX,Sparkasse Neunkirchen
__import__.bank_SWEDSESS,SWEDSESS,SWEDBANK
__import__.bank_UBSWCHZH30A,UBSWCHZH30A,UBS AG
__import__.bank_UNCRITB1Q45,UNCRITB1Q45,UNICREDIT BANCA SPA
__import__.bank_UNCRITMM,UNCRITMM,UNICREDIT BANCA SPA - LANGHIRANO
__import__.bank_UNCRITM1PN9,UNCRITM1PN9,UNICREDIT SPA
__import__.bank_VEBHIT2M,VEBHIT2M,VENETO BANCA HOLDING
__import__.bank_VOHADE2HXXX,VOHADE2HXXX,HANNOVERSCHE VOLKSBANK
__import__.bank_VOLODE66XXX,VOLODE66XXX,Volksbank Dreiländereck eG
__import__.bank_11111111,11111111,CENTEA
