id,name
__setup__.customer_category_petits_animaux,Petits animaux
__setup__.customer_category_grands_animaux,Grands animaux
__setup__.customer_category_equins,Equins
__setup__.customer_category_clinique,Clinique petits animaux
__setup__.customer_category_nac,NAC
__setup__.customer_category_fonctionnaire,Fonctionnaire
__setup__.customer_category_inseminateur,Inseminateur
__setup__.customer_category_comportementaliste,comportementaliste
__setup__.customer_category_enseignant,Enseignant Université
