id,name,esb_ref,use_specific_cost_calculation,fixed_price,free_if_more_than,amount
__setup__.deliver_carrier_alcyon,Alcyon,1,True,8.5,True,125
__setup__.deliver_carrier_transporter,Transporteur (obsolete),2,False,0,,
__setup__.deliver_carrier_post_pack,Colis Postal BPost,3,False,0,,
__setup__.deliver_carrier_post_pack_tnt,Colis Postal TNT,3,False,0,,
__setup__.deliver_carrier_post_pack_ups,Colis Postal UPS,3,False,0,,
__setup__.deliver_carrier_post_pack_dhl,Colis Postal DHL,3,False,0,,
__setup__.deliver_carrier_delegated,Enlèvement délégué (obsolete),4,False,0,,
__setup__.deliver_carrier_by_client,Comptoir,9,False,0,,
__setup__.deliver_carrier_long_term,Livraison long-terme,1,False,0,,
