id,name,bin_checksum_1,bin_checksum_2,location_id/id,kind,zone,corridor,shelf,height,box
__import__.location_loc_AA10B1,AA10B1,22,22,__import__.location_family_A,bin,A,A,10,B,1
__import__.location_loc_AA10B2,AA10B2,90,90,__import__.location_family_A,bin,A,A,10,B,2
__import__.location_loc_AA10B3,AA10B3,11,11,__import__.location_family_A,bin,A,A,10,B,3
__import__.location_loc_AA10B4,AA10B4,68,68,__import__.location_family_A,bin,A,A,10,B,4
__import__.location_loc_AA11A1,AA11A1,95,95,__import__.location_family_A,bin,A,A,11,A,1
__import__.location_loc_AA13A1,AA13A1,32,32,__import__.location_family_A,bin,A,A,13,A,1
__import__.location_loc_AA13A2,AA13A2,03,03,__import__.location_family_A,bin,A,A,13,A,2
__import__.location_loc_AA13A3,AA13A3,95,95,__import__.location_family_A,bin,A,A,13,A,3
__import__.location_loc_AA13A4,AA13A4,64,64,__import__.location_family_A,bin,A,A,13,A,4
__import__.location_loc_AA14A1,AA14A1,07,07,__import__.location_family_A,bin,A,A,14,A,1
__import__.location_loc_AA14A2,AA14A2,46,46,__import__.location_family_A,bin,A,A,14,A,2
__import__.location_loc_AA14A3,AA14A3,54,54,__import__.location_family_A,bin,A,A,14,A,3
__import__.location_loc_AA14A4,AA14A4,78,78,__import__.location_family_A,bin,A,A,14,A,4
__import__.location_loc_AA14B1,AA14B1,47,47,__import__.location_family_A,bin,A,A,14,B,1
__import__.location_loc_AA14B2,AA14B2,24,24,__import__.location_family_A,bin,A,A,14,B,2
__import__.location_loc_AA14B3,AA14B3,29,29,__import__.location_family_A,bin,A,A,14,B,3
__import__.location_loc_AA14B4,AA14B4,41,41,__import__.location_family_A,bin,A,A,14,B,4
__import__.location_loc_AA15A1,AA15A1,05,05,__import__.location_family_A,bin,A,A,15,A,1
__import__.location_loc_AA15A2,AA15A2,67,67,__import__.location_family_A,bin,A,A,15,A,2
__import__.location_loc_AA15A3,AA15A3,02,02,__import__.location_family_A,bin,A,A,15,A,3
__import__.location_loc_AA15A4,AA15A4,24,24,__import__.location_family_A,bin,A,A,15,A,4
__import__.location_loc_AA15B1,AA15B1,79,79,__import__.location_family_A,bin,A,A,15,B,1
__import__.location_loc_AA15B2,AA15B2,21,21,__import__.location_family_A,bin,A,A,15,B,2
__import__.location_loc_AA15B3,AA15B3,43,43,__import__.location_family_A,bin,A,A,15,B,3
__import__.location_loc_AA15B4,AA15B4,49,49,__import__.location_family_A,bin,A,A,15,B,4
__import__.location_loc_AA16A1,AA16A1,64,64,__import__.location_family_A,bin,A,A,16,A,1
__import__.location_loc_AA16A2,AA16A2,40,40,__import__.location_family_A,bin,A,A,16,A,2
__import__.location_loc_AA16A3,AA16A3,26,26,__import__.location_family_A,bin,A,A,16,A,3
__import__.location_loc_AA16A4,AA16A4,31,31,__import__.location_family_A,bin,A,A,16,A,4
__import__.location_loc_AA16B1,AA16B1,24,24,__import__.location_family_A,bin,A,A,16,B,1
__import__.location_loc_AA16B2,AA16B2,62,62,__import__.location_family_A,bin,A,A,16,B,2
__import__.location_loc_AA16B3,AA16B3,08,08,__import__.location_family_A,bin,A,A,16,B,3
__import__.location_loc_AA16B4,AA16B4,21,21,__import__.location_family_A,bin,A,A,16,B,4
__import__.location_loc_AA17A1,AA17A1,53,53,__import__.location_family_A,bin,A,A,17,A,1
__import__.location_loc_AA17A2,AA17A2,04,04,__import__.location_family_A,bin,A,A,17,A,2
__import__.location_loc_AA17A3,AA17A3,61,61,__import__.location_family_A,bin,A,A,17,A,3
__import__.location_loc_AA17A4,AA17A4,52,52,__import__.location_family_A,bin,A,A,17,A,4
__import__.location_loc_AA17B1,AA17B1,72,72,__import__.location_family_A,bin,A,A,17,B,1
__import__.location_loc_AA17B2,AA17B2,07,07,__import__.location_family_A,bin,A,A,17,B,2
__import__.location_loc_AA17B3,AA17B3,02,02,__import__.location_family_A,bin,A,A,17,B,3
__import__.location_loc_AA17B4,AA17B4,95,95,__import__.location_family_A,bin,A,A,17,B,4
__import__.location_loc_AA18A1,AA18A1,00,00,__import__.location_family_A,bin,A,A,18,A,1
__import__.location_loc_AA18A2,AA18A2,15,15,__import__.location_family_A,bin,A,A,18,A,2
__import__.location_loc_AA18A3,AA18A3,68,68,__import__.location_family_A,bin,A,A,18,A,3
__import__.location_loc_AA18A4,AA18A4,90,90,__import__.location_family_A,bin,A,A,18,A,4
__import__.location_loc_AA19A1,AA19A1,08,08,__import__.location_family_A,bin,A,A,19,A,1
__import__.location_loc_AA19A2,AA19A2,06,06,__import__.location_family_A,bin,A,A,19,A,2
__import__.location_loc_AA19A3,AA19A3,72,72,__import__.location_family_A,bin,A,A,19,A,3
__import__.location_loc_AA19A4,AA19A4,53,53,__import__.location_family_A,bin,A,A,19,A,4
__import__.location_loc_AA19B1,AA19B1,56,56,__import__.location_family_A,bin,A,A,19,B,1
__import__.location_loc_AA19B2,AA19B2,01,01,__import__.location_family_A,bin,A,A,19,B,2
__import__.location_loc_AA19B3,AA19B3,95,95,__import__.location_family_A,bin,A,A,19,B,3
__import__.location_loc_AA19B4,AA19B4,88,88,__import__.location_family_A,bin,A,A,19,B,4
__import__.location_loc_AA19B5,AA19B5,41,41,__import__.location_family_A,bin,A,A,19,B,5
__import__.location_loc_AA19B6,AA19B6,58,58,__import__.location_family_A,bin,A,A,19,B,6
__import__.location_loc_AA20A1,AA20A1,15,15,__import__.location_family_A,bin,A,A,20,A,1
__import__.location_loc_AA20A2,AA20A2,45,45,__import__.location_family_A,bin,A,A,20,A,2
__import__.location_loc_AA20A3,AA20A3,02,02,__import__.location_family_A,bin,A,A,20,A,3
__import__.location_loc_AA20A4,AA20A4,16,16,__import__.location_family_A,bin,A,A,20,A,4
__import__.location_loc_AA20B1,AA20B1,41,41,__import__.location_family_A,bin,A,A,20,B,1
__import__.location_loc_AA20B2,AA20B2,15,15,__import__.location_family_A,bin,A,A,20,B,2
__import__.location_loc_AA20B3,AA20B3,16,16,__import__.location_family_A,bin,A,A,20,B,3
__import__.location_loc_AA20B4,AA20B4,52,52,__import__.location_family_A,bin,A,A,20,B,4
__import__.location_loc_AA20B5,AA20B5,28,28,__import__.location_family_A,bin,A,A,20,B,5
__import__.location_loc_AA21A1,AA21A1,51,51,__import__.location_family_A,bin,A,A,21,A,1
__import__.location_loc_AA21A2,AA21A2,64,64,__import__.location_family_A,bin,A,A,21,A,2
__import__.location_loc_AA21A3,AA21A3,72,72,__import__.location_family_A,bin,A,A,21,A,3
__import__.location_loc_AA21A4,AA21A4,24,24,__import__.location_family_A,bin,A,A,21,A,4
__import__.location_loc_AA21B1,AA21B1,04,04,__import__.location_family_A,bin,A,A,21,B,1
__import__.location_loc_AA21B2,AA21B2,40,40,__import__.location_family_A,bin,A,A,21,B,2
__import__.location_loc_AA21B3,AA21B3,21,21,__import__.location_family_A,bin,A,A,21,B,3
__import__.location_loc_AA21B4,AA21B4,02,02,__import__.location_family_A,bin,A,A,21,B,4
__import__.location_loc_AA21B5,AA21B5,29,29,__import__.location_family_A,bin,A,A,21,B,5
__import__.location_loc_AA22A1,AA22A1,36,36,__import__.location_family_A,bin,A,A,22,A,1
__import__.location_loc_AA22A2,AA22A2,29,29,__import__.location_family_A,bin,A,A,22,A,2
__import__.location_loc_AA22A3,AA22A3,92,92,__import__.location_family_A,bin,A,A,22,A,3
__import__.location_loc_AA22A4,AA22A4,11,11,__import__.location_family_A,bin,A,A,22,A,4
__import__.location_loc_AA22B1,AA22B1,23,23,__import__.location_family_A,bin,A,A,22,B,1
__import__.location_loc_AA22B2,AA22B2,02,02,__import__.location_family_A,bin,A,A,22,B,2
__import__.location_loc_AA22B3,AA22B3,86,86,__import__.location_family_A,bin,A,A,22,B,3
__import__.location_loc_AA22B4,AA22B4,20,20,__import__.location_family_A,bin,A,A,22,B,4
__import__.location_loc_AA22B5,AA22B5,13,13,__import__.location_family_A,bin,A,A,22,B,5
