Code,en_GB,fr_BE,nl_BE
pa329,Thiamine,Thiamine,Thiamine
pa330,Thiamfenicol,Thiamphénicol,Thiamfenicol
pa321,Sulfamiden,Sulfamides,Sulfamiden
pa320,Sulfamethoxazol,Sulfaméthoxazole,Sulfamethoxazol
pa319,Sulfadoxine,Sulfadoxine,Sulfadoxine
pa310,Sulfur,Soufre,Sulfur
pa311,Spectinomycine,Spectinomycine,Spectinomycine
pa312,Spinosad,Spinosad,Spinosad
pa313,Spiramycine,Spiramycine,Spiramycine
pa314,Spironolactone,Spironolactone,Spironolactone
pa315,Staphylococcus aureus,Staphylococcus aureus,Staphylococcus aureus
pa316,Sulfachloorpyridazine,Sulfachlorpyridazine,Sulfachloorpyridazine
pa317,Sulfadiazine,Sulfadiazine,Sulfadiazine
pa318,Sulfadimethoxine,Sulfadiméthoxine,Sulfadimethoxine
pa331,Thymol,Thymol,Thymol
pa48,Infectieuze bursitisvirus,Bursite infectieuse (virus de la -),Infectieuze bursitisvirus
pa61,Cefalone,Céfalone,Cefalone
pa62,Cefapirine,Céfapirine,Cefapirine
pa63,Cefazoline,Céfazoline,Cefazoline
pa64,Cefoperazon,Céfopérazone,Cefoperazon
pa65,Cefovecin,Céfovécine,Cefovecin
pa66,Cefquinome,Cefquinome,Cefquinome
pa67,Ceftiofur,Ceftiofur,Ceftiofur
pa68,Chlamydophila felis,Chlamydophila felis,Chlamydophila felis
pa69,Chloor,Chlore,Chloor
pa60,Cefalexine,Céfalexine,Cefalexine
pa59,Carré (hondenziektevirus),Carré (virus de la maladie de -),Carré (hondenziektevirus)
pa1,Not specified,Sans importance,Geen voorkeur
pa58,Carprofen,Carprofène,Carprofen
pa49,Busereline,Buséréline,Busereline
pa50,Butafosfaan,Butafosfan,Butafosfaan
pa51,Butorfanol,Butorphanol,Butorfanol
pa52,BVD-virus,BVD (virus -),BVD-virus
pa53,Cabergoline,Cabergoline,Cabergoline
pa54,Calcium,Calcium,Calcium
pa55,Felien calicivirus,Calicivirus felin,Felien calicivirus
pa56,Carbetocine,Carbétocine,Carbetocine
pa57,Carnidazol,Carnidazole,Carnidazol
pa70,Chloorhexidine,Chlorhexidine,Chloorhexidine
pa71,Chloortetracycline,Chlortétracycline,Chloortetracycline
pa72,Cholecalciferol,Cholécalciférol,Cholecalciferol
pa85,Clostridium tetani,Clostridium tetani,Clostridium tetani
pa86,Clotrimazol,Clotrimazole,Clotrimazol
