code;en_US;fr_BE;nl_BE;parent
allerg_evdechi;Allergy;Allergie;Allergie;euka_v_d_echi
articul_evdechi;Joint;Articulation;Gewricht;euka_v_d_echi
bucco_dent_evdechi;Oral;Bucco-dentaire;"Mond en gebit";euka_v_d_echi
coeur_evdechi;Heart;Cœur;Hart;euka_v_d_echi
comport_evdechi;Behaviour;Comportement;Gedrag;euka_v_d_echi
conval_evdechi;Convalescence;Convalescence;Herstel;euka_v_d_echi
diabet_evdechi;Diabetes;Diabète;Diabetes;euka_v_d_echi
digest_evdechi;Digestion;Digestion;Spijsvertering;euka_v_d_echi
foie_evdechi;Liver;Foie;Lever;euka_v_d_echi
peau_evdechi;Skin;Peau;Huid;euka_v_d_echi
poids_evdechi;Weight;Poids;Gewicht;euka_v_d_echi
reins_evdechi;Kidney;Reins;Nieren;euka_v_d_echi
urin_evdechi;Urinary;Urinaire;Urinair;euka_v_d_echi
biscuits_evdechi;Biscuits;Biscuits;Koekjes;euka_v_d_echi
Celtic;Celtic;Celtic;Celtic;chien_ali
physio_cchi;Physiological;Physiologique;Fysiologisch;Celtic
alichien_acana;Acana;Acana;Acana;chien_ali
physio_acchien;Physiological;Physiologique;Fysiologisch;alichien_acana
alichien_orijen;Orijen;Orijen;Orijen;chien_ali
physio_orchien;Physiological;Physiologique;Fysiologisch;alichien_orijen
chi_sanalio;Sanalio;Sanalio;Sanalio;chien_ali
physio_sanchien;Physiological;Physiologique;Fysiologisch;chi_sanalio
SOFIVET;Sofivet;Sofivet;Sofivet;chien_ali
chi_sofivet_physio;Physiological;Physiologique;Fysiologisch;SOFIVET
chat_ali;Cat;Chat;Kat;ali
roy_can_chat;"Royal Canin";"Royal Canin";"Royal Canin";chat_ali
breed_rccha;Breed;Breed;Breed;roy_can_chat
physio_brccha;Physiological;Physiologique;Fysiologisch;breed_rccha
vet_care_nut_rccha;"Vet Care Nutrition";"Vet Care Nutrition";"Vet Care Nutrition";roy_can_chat
physio_vcnrccha;Physiological;Physiologique;Fysiologisch;vet_care_nut_rccha
steril_vcnrccha;Sterilisation;Stérilisation;Sterilisatie;vet_care_nut_rccha
vt_diet_rccha;"Veterinary Diet";"Veterinary Diet";"Veterinary Diet";roy_can_chat
allerg_vdrccha;Allergy;Allergie;Allergie;vt_diet_rccha
articul_vdrccha;Joint;Articulation;Gewricht;vt_diet_rccha
bucco_dent_vdrccha;Oral;Bucco-dentaire;"Mond en gebit";vt_diet_rccha
coeur_vdrccha;Heart;Cœur;Hart;vt_diet_rccha
comport_vdrccha;Behaviour;Comportement;Gedrag;vt_diet_rccha
conval_vdrccha;Convalescence;Convalescence;Herstel;vt_diet_rccha
diabet_vdrccha;Diabetes;Diabète;Diabetes;vt_diet_rccha
digest_vdrccha;Digestion;Digestion;Spijsvertering;vt_diet_rccha
foie_vdrccha;Liver;Foie;Lever;vt_diet_rccha
peau_vdrccha;Skin;Peau;Huid;vt_diet_rccha
poids_vdrccha;Weight;Poids;Gewicht;vt_diet_rccha
reins_vdrccha;Kidney;Reins;Nieren;vt_diet_rccha
urin_vdrccha;Urinary;Urinaire;Urinair;vt_diet_rccha
hills_chat;Hill's;Hill's;Hill's;chat_ali
scie_plan_hcha;"Science Plan";"Science Plan";"Science Plan";hills_chat
physio_sphcha;Physiological;Physiologique;Fysiologisch;scie_plan_hcha
vet_ess_hcha;"Vet Essentials";"Vet Essentials";VetEssentials;hills_chat
physio_vehcha;Physiological;Physiologique;Fysiologisch;vet_ess_hcha
steril_vehcha;Sterilisation;Stérilisation;Sterilisatie;vet_ess_hcha
ideal_bal_hcha;"Ideal Balance";"Ideal Balance";"Ideal Balance";hills_chat
physio_ibhcha;Physiological;Physiologique;Fysiologisch;ideal_bal_hcha
pres_diet_hcha;"Prescription Diet";"Prescription Diet";"Prescription Diet";hills_chat
allergie_pdhcha;Allergy;Allergie;Allergie;pres_diet_hcha
articul_pdhcha;Joint;Articulation;Gewricht;pres_diet_hcha
bucco_dent_pdhcha;Oral;Bucco-dentaire;"Mond en gebit";pres_diet_hcha
coeur_pdhcha;Heart;Cœur;Hart;pres_diet_hcha
comport_pdhcha;Behaviour;Comportement;Gedrag;pres_diet_hcha
conval_pdhcha;Convalescence;Convalescence;Herstel;pres_diet_hcha
diabet_pdhcha;Diabetes;Diabète;Diabetes;pres_diet_hcha
digest_pdhcha;Digestion;Digestion;Spijsvertering;pres_diet_hcha
foie_pdhcha;Liver;Foie;Lever;pres_diet_hcha
peau_pdhcha;Skin;Peau;Huid;pres_diet_hcha
poids_pdhcha;Weight;Poids;Gewicht;pres_diet_hcha
reins_pdhcha;Kidney;Reins;Nieren;pres_diet_hcha
urin_pdhcha;Urinary;Urinaire;Urinair;pres_diet_hcha
thyro_pdhcha;Thyroid;Thyroïde;Schildklier;pres_diet_hcha
biscuits_pdhcha;Biscuits;Biscuits;Koekjes;pres_diet_hcha
nat_best_hcha;"Nature best";"Nature best";"Nature best";hills_chat
physio_nbhcha;Physiological;Physiologique;Fysiologisch;nat_best_hcha
virbac_chat;Virbac;Virbac;Virbac;chat_ali
hpm_vcha;HPM;HPM;HPM;virbac_chat
physio_hpmvcha;Physiological;Physiologique;Fysiologisch;hpm_vcha
allerg_hpmvcha;Allergy;Allergie;Allergie;hpm_vcha
articul_hpmvcha;Joint;Articulation;Gewricht;hpm_vcha
bucco_dent_hpmvcha;Oral;Bucco-dentaire;"Mond en gebit";hpm_vcha
coeur_hpmvcha;Heart;Cœur;Hart;hpm_vcha
comport_hpmvcha;Behaviour;Comportement;Gedrag;hpm_vcha
conval_hpmvcha;Convalescence;Convalescence;Herstel;hpm_vcha
diabet_hpmvcha;Diabetes;Diabète;Diabetes;hpm_vcha
digest_hpmvcha;Digestion;Digestion;Spijsvertering;hpm_vcha
foie_hpmvcha;Liver;Foie;Lever;hpm_vcha
peau_hpmvcha;Skin;Peau;Huid;hpm_vcha
poids_hpmvcha;Weight;Poids;Gewicht;hpm_vcha
reins_hpmvcha;Kidney;Reins;Nieren;hpm_vcha
urin_hpmvcha;Urinary;Urinaire;Urinair;hpm_vcha
vet_comp_vcha;"Vet Complex";"Vet Complex";"Vet Complex";virbac_chat
allerg_vcvcha;Allergy;Allergie;Allergie;vet_comp_vcha
articul_vcvcha;Joint;Articulation;Gewricht;vet_comp_vcha
bucco_dent_vcvcha;Oral;Bucco-dentaire;"Mond en gebit";vet_comp_vcha
coeur_vcvcha;Heart;Cœur;Hart;vet_comp_vcha
comport_vcvcha;Behaviour;Comportement;Gedrag;vet_comp_vcha
conval_vcvcha;Convalescence;Convalescence;Herstel;vet_comp_vcha
diabet_vcvcha;Diabetes;Diabète;Diabetes;vet_comp_vcha
digest_vcvcha;Digestion;Digestion;Spijsvertering;vet_comp_vcha
foie_vcvcha;Liver;Foie;Lever;vet_comp_vcha
peau_vcvcha;Skin;Peau;Huid;vet_comp_vcha
poids_vcvcha;Weight;Poids;Gewicht;vet_comp_vcha
reins_vcvcha;Kidney;Reins;Nieren;vet_comp_vcha
urin_vcvcha;Urinary;Urinaire;Urinair;vet_comp_vcha
specific_chat;Specific;Specific;Specific;chat_ali
speci_scha;Specific;Specific;Specific;specific_chat
physio_sscha;Physiological;Physiologique;Fysiologisch;speci_scha
allerg_sscha;Allergy;Allergie;Allergie;speci_scha
articul_sscha;Joint;Articulation;Gewricht;speci_scha
bucco_dent_sscha;Oral;Bucco-dentaire;"Mond en gebit";speci_scha
coeur_sscha;Heart;Cœur;Hart;speci_scha
comport_sscha;Behaviour;Comportement;Gedrag;speci_scha
conval_sscha;Convalescence;Convalescence;Herstel;speci_scha
diabet_sscha;Diabetes;Diabète;Diabetes;speci_scha
digest_sscha;Digestion;Digestion;Spijsvertering;speci_scha
foie_sscha;Liver;Foie;Lever;speci_scha
peau_sscha;Skin;Peau;Huid;speci_scha
poids_sscha;Weight;Poids;Gewicht;speci_scha
reins_sscha;Kidney;Reins;Nieren;speci_scha
urin_sscha;Urinary;Urinaire;Urinair;speci_scha
pp_pur_chat;"Purina Pro Plan";"Pro Plan Purina";"Pro Plan Purina";chat_ali
pro_plan_pppcha;"Pro Plan";"Pro Plan";"Pro Plan";pp_pur_chat
physio_pppppcha;Physiological;Physiologique;Fysiologisch;pro_plan_pppcha
steril_pppppcha;Sterilisation;Stérilisation;Sterilisatie;pro_plan_pppcha
pp_pur_vet_d_pppcha;"Pro Plan Purina Veterinary Diet";"Pro Plan Purina Veterinary Diet";"Pro Plan Purina Veterinary Diet";pp_pur_chat
allerg_pppvdppcha;Allergy;Allergie;Allergie;pp_pur_vet_d_pppcha
articul_pppppcha;Joint;Articulation;Gewricht;pp_pur_vet_d_pppcha
bucco_dent_pppppcha;Oral;Bucco-dentaire;"Mond en gebit";pp_pur_vet_d_pppcha
coeur_pppppcha;Heart;Cœur;Hart;pp_pur_vet_d_pppcha
comport_pppppcha;Behaviour;Comportement;Gedrag;pp_pur_vet_d_pppcha
conval_pppppcha;Convalescence;Convalescence;Herstel;pp_pur_vet_d_pppcha
diabet_pppppcha;Diabetes;Diabète;Diabetes;pp_pur_vet_d_pppcha
digest_pppppcha;Digestion;Digestion;Spijsvertering;pp_pur_vet_d_pppcha
foie_pppppcha;Liver;Foie;Lever;pp_pur_vet_d_pppcha
peau_pppppcha;Skin;Peau;Huid;pp_pur_vet_d_pppcha
poids_pppppcha;Weight;Poids;Gewicht;pp_pur_vet_d_pppcha
reins_pppppcha;Kidney;Reins;Nieren;pp_pur_vet_d_pppcha
urin_pppppcha;Urinary;Urinaire;Urinair;pp_pur_vet_d_pppcha
sanimed_chat;Sanimed;Sanimed;Sanimed;chat_ali
sanimed_scha;Sanimed;Sanimed;Sanimed;sanimed_chat
physio_sanimedcha;Physiological;Physiologique;Fysiologisch;sanimed_scha
allerg_sanimedcha;Allergy;Allergie;Allergie;sanimed_scha
articul_sanimedcha;Joint;Articulation;Gewricht;sanimed_scha
bucco_dent_sanimedcha;Oral;Bucco-dentaire;"Mond en gebit";sanimed_scha
coeur_sanimedcha;Heart;Cœur;Hart;sanimed_scha
comport_sanimedcha;Behaviour;Comportement;Gedrag;sanimed_scha
conval_sanimedcha;Convalescence;Convalescence;Herstel;sanimed_scha
diabet_sanimedcha;Diabetes;Diabète;Diabetes;sanimed_scha
digest_sanimedcha;Digestion;Digestion;Spijsvertering;sanimed_scha
foie_sanimedcha;Liver;Foie;Lever;sanimed_scha
peau_sanimedcha;Skin;Peau;Huid;sanimed_scha
poids_sanimedcha;Weight;Poids;Gewicht;sanimed_scha
reins_sanimedcha;Kidney;Reins;Nieren;sanimed_scha
urin_sanimedcha;Urinary;Urinaire;Urinair;sanimed_scha
trovet_chat;Trovet;Trovet;Trovet;chat_ali
trovet_tcha;Trovet;Trovet;Trovet;trovet_chat
physio_ttcha;Physiological;Physiologique;Fysiologisch;trovet_tcha
allerg_ttcha;Allergy;Allergie;Allergie;trovet_tcha
articul_ttcha;Joint;Articulation;Gewricht;trovet_tcha
bucco_dent_ttcha;Oral;Bucco-dentaire;"Mond en gebit";trovet_tcha
coeur_ttcha;Heart;Cœur;Hart;trovet_tcha
comport_ttcha;Behaviour;Comportement;Gedrag;trovet_tcha
conval_ttcha;Convalescence;Convalescence;Herstel;trovet_tcha
diabet_ttcha;Diabetes;Diabète;Diabetes;trovet_tcha
digest_ttcha;Digestion;Digestion;Spijsvertering;trovet_tcha
foie_ttcha;Liver;Foie;Lever;trovet_tcha
peau_ttcha;Skin;Peau;Huid;trovet_tcha
poids_ttcha;Weight;Poids;Gewicht;trovet_tcha
reins_ttcha;Kidney;Reins;Nieren;trovet_tcha
urin_ttcha;Urinary;Urinaire;Urinair;trovet_tcha
biscuits_ttcha;Biscuits;Biscuits;Koekjes;trovet_tcha
eukanuba_chat;Eukanuba;Eukanuba;Eukanuba;chat_ali
iams_echa;Iams;Iams;Iams;eukanuba_chat
physio_iecha;Physiological;Physiologique;Fysiologisch;iams_echa
euka_echa;Eukanuba;Eukanuba;Eukanuba;eukanuba_chat
physio_eecha;Physiological;Physiologique;Fysiologisch;euka_echa
euka_v_d_echa;"Eukanuba Veterinary Diet";"Eukanuba Veterinary Diet";"Eukanuba Veterinary Diet";eukanuba_chat
allerg_evdecha;Allergy;Allergie;Allergie;euka_v_d_echa
articul_evdecha;Joint;Articulation;Gewricht;euka_v_d_echa
bucco_dent_evdecha;Oral;Bucco-dentaire;"Mond en gebit";euka_v_d_echa
coeur_evdecha;Heart;Cœur;Hart;euka_v_d_echa
comport_evdecha;Behaviour;Comportement;Gedrag;euka_v_d_echa
conval_evdecha;Convalescence;Convalescence;Herstel;euka_v_d_echa
diabet_evdecha;Diabetes;Diabète;Diabetes;euka_v_d_echa
digest_evdecha;Digestion;Digestion;Spijsvertering;euka_v_d_echa
foie_evdecha;Liver;Foie;Lever;euka_v_d_echa
peau_evdecha;Skin;Peau;Huid;euka_v_d_echa
poids_evdecha;Weight;Poids;Gewicht;euka_v_d_echa
reins_evdecha;Kidney;Reins;Nieren;euka_v_d_echa
urin_evdecha;Urinary;Urinaire;Urinair;euka_v_d_echa
alichat_celtic;Celtic;Celtic;Celtic;chat_ali
physio_ccha;Pysiological;Physiologique;Fysiologisch;alichat_celtic
alichat_acana;Acana;Acana;Acana;chat_ali
physio_accha;Physiological;Physiologique;Fysiologisch;alichat_acana
alichat_orijen;Orijen;Orijen;Orijen;chat_ali
physio_orcha;Physiological;Physiologique;Fysiologisch;alichat_orijen
alichat_sofivet;Sofivet;Sofivet;Sofivet;chat_ali
chat_sofivet_physio;Physiological;Physiologique;Fysiologisch;alichat_sofivet
nac_ali;NAC;NAC;Knaagdieren;ali
vers_laga_nac;"Versele Laga";"Versele Laga";Versele-Laga;nac_ali
complet_vlnac;Complete;Complete;Complete;vers_laga_nac
nutribird_vlnac;Nutribird;Nutribird;Nutribird;vers_laga_nac
orlux_vlnac;Orlux;Orlux;Orlux;vers_laga_nac
caviapro_vlnac;"Cavia Pro";"Cavia Pro";"Cavia Pro";vers_laga_nac
crispy_vlnac;Crispy;Crispy;Crispy;vers_laga_nac
supr_scie_nac;"Supreme Science";"Supreme Science";"Supreme Science";nac_ali
selectiv_ssnac;Selective;Selective;Selective;supr_scie_nac
recovery_ssnac;Recovery;Recovery;Recovery;supr_scie_nac
vetcare_p_ssnac;"Vetcare Plus";"Vetcare Plus";"Vetcare Plus";supr_scie_nac
fibafirst_cnac;Fibafirst;Fibafirst;Fibafirst;supr_scie_nac
trovet_nac;Trovet;Trovet;Trovet;nac_ali
foin_nac;Other;Divers;Divers;nac_ali
oxbow_nac;Oxbow;Oxbow;Oxbow;nac_ali
mat;"Medical Material";"Matériel Médical";"Medisch materiaal";master
cons;Consumables;Consommables;Verbruiksproducten;mat
pansem_cons;Dressings;Pansements;Verbanden;cons
bandadhes_pansem_cons;"Adhesive strips";"Bandes Adhésives";"Klevend verband";pansem_cons
bandcohes_pansem_cons;"Cohesive strips";"Bandes Cohésives";"Zelf-klevend Verband";pansem_cons
bandcrepgaztoil_pansem_cons;"Crêpes-gauze strips";"Bandes Crêpes-gazes";"Netverbanden - gaasbanden";pansem_cons
bandimmobil_pansem_cons;"Immobilisation strips";"Bandes Immobilisation";Immobilisatieverbanden;pansem_cons
platr_bandimmobil_pansem_cons;Plasters;Plâtrées;"Gipsverbanden - Plaasters";bandimmobil_pansem_cons
resin_bandimmobil_pansem_cons;Resins;Résines;Harsen;bandimmobil_pansem_cons
sousplatre_bandimmobil_pansem_cons;Sub-plaster;Sous-plâtre;Gipswindels;bandimmobil_pansem_cons
attel_pansem_cons;Splints;Attelles;Spalken;pansem_cons
protectdupans_pansem_cons;"Dressing protection";"Protection du pansement";Verbandbescherming;pansem_cons
minervetcarc_pansem_cons;"Minerva collars and Restraints";"Minerves et Carcans";Kragen;pansem_cons
sparaadhes_pansem_cons;Plaster-Adhesive;Sparadrap-Adhésif;"Hechtpleister - Klevende tapes";pansem_cons
compress_pansem_cons;Compresses;Compresses;Kompressen;pansem_cons
cicathemo_pansem_cons;Healing-Haemostasis;Cicatrisation-Hémostase;"Wondgenezing - bloedstelping";pansem_cons
coton_pansem_cons;Cotton;Coton;Katoen;pansem_cons
chirurg_cons;Surgery;Chirurgie;Chirurgie;cons
chirurg_chirurg_cons;Surgery;Chirurgie;Chirurgie;chirurg_cons
champs_chirurg_chirurg_cons;Fields;Champs;Operatiedoeken;chirurg_chirurg_cons
tranchant_chirurg_chirurg_cons;Cutters;Tranchants;Skalpel;chirurg_chirurg_cons
inj_cons;Injection;Injection;Injectie;cons
aig_inj_cons;Needles;Aiguilles;Naalden;inj_cons
ser_inj_cons;Syringes;Seringues;Spuiten;inj_cons
perftransfu_inj_cons;"Infusion - Transfusion";"Perfusion - Transfusion";"Infusie - transfusie";inj_cons
catheter_perftransfu_inj_cons;Catheters;Cathéters;Katheters;perftransfu_inj_cons
perfus_perftransfu_inj_cons;Infusers;Perfuseurs;Infuusapparatuur;perftransfu_inj_cons
transfus_perftransfu_inj_cons;Transfusers;Transfuseurs;Transfusieapparatuur;perftransfu_inj_cons
access_perftransfu_inj_cons;Accessories;Accessoires;Toebehoren;perftransfu_inj_cons
epicran_inj_cons;"Torniquets and Needle boxes";"Garrots et Collecteurs d'aiguilles";"Aderlaatkoorden en Naaldcollectors";inj_cons
prelev_cons;Samples;Prélèvements;Staalafnames;cons
admindesantican_prelev_cons;"Plastics and bottles";"Plastique - Verreries";"Verpakkingen Plastiek en glas";prelev_cons
prelevsang_prelev_cons;"Blood sample";"Prélèvement sanguin";"Afname van bloedstalen";prelev_cons
sonde_cons;Probes;Sondes;Sondes;cons
sondstom_sonde_cons;"Stomach probes";"Sondes stomacales";Maagsondes;sonde_cons
sondves_sonde_cons;"Bladder catheters";"Sondes vésicales";"Urine sondes";sonde_cons
drainimpl_sonde_cons;"Drains - Implants";"Drains - Implants";"Drains - implantaten";sonde_cons
sonddiv_sonde_cons;"Various probes";"Sondes divers";"Diverse sondes";sonde_cons
sutur_cons;Sutures;Sutures;Hechtingsmateriaal;cons
agraf_sutur_cons;"Staplers & Glues";"Agrafeuses & Colles";"Huidstaplers & Lijmen";sutur_cons
aiguillee_sutur_cons;"Pochette sertie";"Pochette sertie";"Blister zonder naald";sutur_cons
filresorb_aiguillee_sutur_cons;"Absorbable thread";"Fils résorbable";"Resorbeerbare hechtdraad";aiguillee_sutur_cons
filiresorb_aiguillee_sutur_cons;"Non-absorbable thread";"Fils irrésorbable";"Niet-resorbeerbare hechtdraad";aiguillee_sutur_cons
pochnonsert_sutur_cons;"Pochette non sertie";"Pochette non sertie";"Blister met naald";sutur_cons
filresorb_nonaiguillee_sutur_cons;"Absorbable thread";"Fils résorbable";"Resorbeerbare hechtdraad";pochnonsert_sutur_cons
filiresorb_nonaiguillee_sutur_cons;"Non-absorbable thread";"Fils irrésorbable";"Niet-resorbeerbare hechtdraad";pochnonsert_sutur_cons
devid_sutur_cons;"Bobine et casette";"Bobine et cassette";"Bobijn en cassette";sutur_cons
filresorb_devid_sutur_cons;"Absorbable thread";"Fils résorbable";"Resorbeerbare hechtdraad";devid_sutur_cons
filiresorb_devid_sutur_cons;"Non-absorbable thread";"Fils irrésorbable";"Niet-resorbeerbare hechtdraad";devid_sutur_cons
aigasut_sutur_cons;"Needles for sutures";"Aiguilles à sutures";Hechtingsnaalden;sutur_cons
gant_cons;Gloves;Gants;Handschoenen;cons
bross_gant_cons;Brushes;Brosses;Borstels;gant_cons
gantdechir_gant_cons;"Surgical gloves";"Gants de chirurgie";"Chirurgische handschoenen";gant_cons
gantdexam_gant_cons;"Examination gloves";"Gants d’examen";Onderzoekshandschoenen;gant_cons
gantderur_gant_cons;"Rural gloves";"Gants de rurale";Verloshandschoenen;gant_cons
habi_cons;Clothing;Habillement;Kleding;cons
vetconsu_habi_cons;"Consultation clothing";"Vêtements de consultation";"Medische kleding";habi_cons
vetchir_habi_cons;"Surgery clothing";"Vêtements de chirurgie";"Chirurgische kleding";habi_cons
uu_vetchir_habi_cons;"Single use";"Usage unique";"Eenmalig gebruik";vetchir_habi_cons
tisse_vetchir_habi_cons;Woven;Tissés;Geweven;vetchir_habi_cons
vetrur_habi_cons;"Rural clothing";"Vêtements rurale";"Kleding landbouwdieren";habi_cons
uu_vetrur_habi_cons;"Single use";"Usage unique";"Eenmalig gebruik";vetrur_habi_cons
tisse_vetrur_habi_cons;Woven;Tissés;Geweven;vetrur_habi_cons
labo_cons;Laboratory;Laboratoire;Laboratorium;cons
microsccolfix_labo_cons;"Microscope - Dyes - Fixers";"Microscope - Colorants - Fixateurs";"Microscoop - Kleurstoffen - Fixeermiddelen";labo_cons
copro_labo_cons;Coprology;Coprologie;Coprologie;labo_cons
bioprelev_labo_cons;"Biopsy - Sampling";"Biopsie - Prélèvement";"Biopsie - Afname";labo_cons
reactmach_labo_cons;"Machinery reagents";"Réactifs machines";"Labo apparatuur";labo_cons
tests_labo_cons;Tests;Tests;Tests;labo_cons
equip;Equipment;Equipement;Uitrusting;mat
img_equip;Imagery;Imagerie;Beeldvorming;equip
appderadio_img_equip;"Radiology equipment";"Appareils de Radiologie";Radiologietoestellen;img_equip
developmt_img_equip;Development;Développement;Ontwikkeling;img_equip
app_developmt_img_equip;Devices;Appareils;Toestellen;developmt_img_equip
cuve_developmt_img_equip;Tanks;Cuves;Bak;developmt_img_equip
chimie_developmt_img_equip;Chemistry;Chimie;Chemie;developmt_img_equip
access_developmt_img_equip;Accessories;Accessoires;Toebehoren;developmt_img_equip
casset_developmt_img_equip;Cassettes;Cassettes;Cassettes;developmt_img_equip
ecran_img_equip;Screens;Ecrans;Schermen;img_equip
orthochro_developmt_img_equip;Orthochromatics;Orthochromatiques;Orthochromatische;ecran_img_equip
film_img_equip;Films;Films;Films;img_equip
orthochro_film_img_equip;Orthochromatics;Orthochromatiques;Orthochromatische;film_img_equip
bleu_film_img_equip;Blues;Bleus;Blauwe;film_img_equip
accessderad_img_equip;"Radiology accessories";"Accessoires de radiologie";Radiologietoebehoren;img_equip
negato_img_equip;Negatoscopes;Négatoscopes;Lichtbakken;img_equip
radio_img_equip;Radioprotection;Radioprotection;Stralingsbescherming;img_equip
echo_img_equip;Ultrasound;Echographie;Echografie;img_equip
app_echo_img_equip;Devices;Appareils;Toestellen;echo_img_equip
accessecho_echo_img_equip;"Ultrasound accessories";"Accessoires d’échographie";"Toebehoeren voor echografie";echo_img_equip
endo_img_equip;Endoscopy;Endoscopie;Endoscopie;img_equip
mob_equip;Furniture;Mobilier;Meubilair;equip
eclair_mob_equip;Lighting;Eclairage;Verlichting;mob_equip
exam_eclair_mob_equip;Examination;Examen;Onderzoek;eclair_mob_equip
plafonnier_eclair_mob_equip;"Ceiling light";Plafonnier;Plafond;eclair_mob_equip
chir_eclair_mob_equip;Surgery;Chirurgie;Chirurgie;eclair_mob_equip
petimobpes_mob_equip;"Small furniture - weighing";"Petit mobilier - pesée";"Klein meubilair - weegschalen";mob_equip
table_mob_equip;Tables;Tables;Tafels;mob_equip
consult_table_mob_equip;Consultation;Consultation;Consultatie;table_mob_equip
prepar_table_mob_equip;Preparation;Préparation;Voorbereiding;table_mob_equip
chir_table_mob_equip;Surgery;Chirurgie;Chirurgie;table_mob_equip
access_table_mob_equip;Accessories;Accessoires;Toebehoren;table_mob_equip
chaindufr_mob_equip;"Cold chain";"Chaine du froid";Koeling;mob_equip
armoirrefrig_chaindufr_mob_equip;"Refrigerated cabinets";"Armoires réfrigérées";Koelkasten;chaindufr_mob_equip
frgodetransp_chaindufr_mob_equip;"Refrigerated transport";"Frigo de transport";Transportkoelkast;chaindufr_mob_equip
stock_mob_equip;Storage;Stockage;Opslag;mob_equip
cont_mob_equip;Contention;Contention;Fixatie;mob_equip
enseig_mob_equip;Signs;Enseignes;Uithangborden;mob_equip
enseign_enseig_mob_equip;Signs;Enseignes;Uithangborden;enseig_mob_equip
chenil_equip;Kennel;Chenil;Kennel;equip
cag_chenil_equip;Cages;Cages;Kooien;chenil_equip
access_chenil_equip;Accessories;Accessoires;Toebehoren;chenil_equip
tonte_equip;Shearing;Tonte;Scheren;equip
app_tonte_equip;Devices;Appareils;Toestellen;tonte_equip
tetdecoup_tonte_equip;"Cutting head";"Tête de coupe";Scheerkop;tonte_equip
access_tonte_equip;Accessories;Accessoires;Toebehoren;tonte_equip
chir_equip;Surgery;Chirurgie;Chirurgie;equip
bistetcautelec_chir_equip;"Scalpels and electrocautery";"Bistouris et cautères électriques";"Scalpels en Caustiekapparaat";chir_equip
aspi_chir_equip;Vacuums;Aspirateurs;Afzuigtoestellen;chir_equip
accessaspi_chir_equip;"Vacuum accessories";"Accessoires aspirateurs";"Toebehoren afzuigtoestellen";chir_equip
anesth_equip;Anaesthesia-Monitoring;Anesthésie-Surveillance;"Anesthesie - Toezicht";equip
app_anesth_equip;Devices;Appareils;Toestellen;anesth_equip
access_anesth_equip;Accessories;Accessoires;Toebehoren;anesth_equip
surveil_anesth_equip;Monitoring;Surveillance;Toezicht;anesth_equip
perfsoinsint_equip;"Infusion - Intensive care";"Perfusion - Soins intensifs";"Infusie - Intensieve zorgen";equip
dentist_equip;Dentistry;Dentisterie;Tandheelkunde;equip
detart_dentist_equip;Tables;Tables;Tafels;dentist_equip
detartetpol_dentist_equip;"Scalers and polishers";"Détartreurs et Polisseurs";"Tandsteenreinigers en polijsttoestellen";dentist_equip
accpourdetaretpol_dentist_equi;"Accessories for Scalers and Polishers";"Accessoires pour  Détartreurs et Polisseurs";"Toebehoren voor Tandsteenreinigers en polijsttoestellen";dentist_equip
diagno_equip;Diagnosis;Diagnostic;Diagnose;equip
ecg_diagno_equip;E.C.G.;E.C.G.;E.K.G.;diagno_equip
ophta_diagno_equip;Ophthalmoscope;Ophtalmoscope;Oftalmoscoop;diagno_equip
direct_ophta_diagno_equip;Direct;Direct;Direct;ophta_diagno_equip
indirect_ophta_diagno_equip;Indirect;Indirect;Indirect;ophta_diagno_equip
lampafent_diagno_equip;"Slit lamp";"Lampe à fente";Spleetlamp;diagno_equip
examoeil_diagno_equip;"EYE examination";"Examen de  l’ŒIL";Oogonderzoek;diagno_equip
otosc_diagno_equip;Otoscopes;Otoscopes;Otoscopen;diagno_equip
manchettrans_diagno_equip;"Sleeves and transformers";"Manches et transformateurs";"Handvaten en transfo's";diagno_equip
stetho_diagno_equip;Stethoscopes;Stéthoscopes;Stethoscopen;diagno_equip
thermo_diagno_equip;Thermometers;Thermomètres;Thermometers;diagno_equip
div_diagno_equip;Various;Divers;Allerlei;diagno_equip
identif_equip;Identification;Identification;Identificatie;equip
identcan_identif_equip;"Canine identification";"Identification canine";"Identificatie van honden";identif_equip
lectdepuce_identcan_identif_equip;"Chip readers";"Lecteurs de puces";Chiplezer;identcan_identif_equip
tatetpincatat_identcan_identif_equip;"Tattoo artists and tattoo pliers";"Tatoueurs et pinces à tatouer";"Oormerken en oormerktangen";identcan_identif_equip
access_identcan_identif_equip;Accessories;Accessoires;Toebehoren;identcan_identif_equip
labo_equip;Laboratories;Laboratoires;Laboratoriums;equip
ana_labo_equip;Analysers;Analyseurs;Analysators;labo_equip
centri_labo_equip;Centrifuges;Centrifugeuses;Centrifuges;labo_equip
app_centri_labo_equip;Devices;Appareils;Toestellen;centri_labo_equip
access_centri_labo_equip;Accessories;Accessoires;Toebehoren;centri_labo_equip
microsc_labo_equip;Microscopes;Microscopes;Microscopen;labo_equip
app_microsc_labo_equip;Devices;Appareils;Toestellen;microsc_labo_equip
access_microsc_labo_equip;Accessories;Accessoires;Toebehoren;microsc_labo_equip
labo_labo_equip;Laboratory;Laboratoire;Laboratorium;labo_equip
vaissel_labo_labo_equip;Dishes;Vaisselle;Afwas;labo_labo_equip
hygetster_equip;"Hygiene and sterilisation";"Hygiène et stérilisation";"Hygiëne en sterilisatie";equip
