code;en_US;fr_BE;nl_BE;parent
diuretiq_scvmvb;Diuretics;Diurétiques;Diuretica;sys_cario_vasc_med_vt_bg
beta_bloq_scvmvb;Beta-blockers;Bêta-bloquants;Bètablokkers;sys_cario_vasc_med_vt_bg
sys_urogeni_med_vt_bg;"Urogenital system";"Système urogénital";"Urogenitaal stelsel";med_vt_bg
sys_nvxcentr_et_peri_med_vt_bg;"Central and peripheral nervous system";"Système nerveux central et périphérique";"Centraal en perifeer zenuwstelsel";med_vt_bg
anesth_gen_inj_sncepmvb;"Injectable general anaesthetics";"Anesthésiques généraux injectables";"Algemene injecteerbare anesthetica";sys_nvxcentr_et_peri_med_vt_bg
anesth_loc_sncepmvb;"Local anaesthetics";"Anesthésiques locaux";"Lokale anesthetica";sys_nvxcentr_et_peri_med_vt_bg
agts_util_pour_eutha_sncepmvb;"Agents used for euthanasia";"Agents utilisés pour l'euthanasie";"Agentia gebruikt voor de euthanasie";sys_nvxcentr_et_peri_med_vt_bg
anesth_volatil_sncepmvb;"Volatile anaesthetics";"Anesthésiques volatils";Inhalatieanesthetica;sys_nvxcentr_et_peri_med_vt_bg
neurolept_sncepmvb;Neuroleptics;Neuroleptiques;Neuroleptica;sys_nvxcentr_et_peri_med_vt_bg
benzodiazepin_sncepmvb;Benzodiazepines;Benzodiazépines;Benzodiazepines;sys_nvxcentr_et_peri_med_vt_bg
myorelax_sncepmvb;"Muscle relaxants";Myorelaxants;"Myorelaxerende stoffen";sys_nvxcentr_et_peri_med_vt_bg
agonist_alpha2_adrenerg_sncepmvb;"Alpha-2 andrenergic agonists";"Agonistes alpha 2-adrénergiques";"Alfa-2-adrenerge agonisten";sys_nvxcentr_et_peri_med_vt_bg
antidepres_sncepmvb;Antidepressants;Antidépresseurs;Antidepressiva;sys_nvxcentr_et_peri_med_vt_bg
antiepilept_sncepmvb;Antiepileptics;Antiépileptiques;Anti-epileptica;sys_nvxcentr_et_peri_med_vt_bg
antidote_sncepmvb;Antidote;Antidote;Antidota;sys_nvxcentr_et_peri_med_vt_bg
med_peau_med_vt_bg;"Drugs for the skin";"Médicaments pour la peau";"Geneesmiddelen voor de huid";med_vt_bg
usage_ext_med_vt_bg;"External use";"Usage externe";"Uitwendig gebruik";med_vt_bg
dermato_uemvb;Dermatological;Dermatologique;"Cutaan gebruik";usage_ext_med_vt_bg
antisept_duemvb;Antiseptic;Antiseptiques;Antiseptica;dermato_uemvb
tremp_trayons_duemvb;"Teat dips";"Trempage des trayons";Tepeldipmiddel;dermato_uemvb
antiobio_duemvb;Antibiotics;Antibiotiques;Antibiotica;dermato_uemvb
antifong_duemvb;"Antifungal drugs";Antifongiques;Antimycotica;dermato_uemvb
a_usg_transd_ctre_endopar_duemvb;"For transdermic use against endoparasites";"à us. transderm. contre endoparasites";"voor transdermaal gebruik tegen endoparasieten";dermato_uemvb
a_usg_transd_ctre_eendopar_duemvb;"For transdermic use against ecto and endoparasites";"à us. transderm. contre ecto- et endoparasites";"voor transdermaal gebruik tegen ecto- en endoparasieten";dermato_uemvb
a_usg_top_ctre_ectopar_duemvb;"For top. use against endoparasites";"à us. top. contre ectoparasites";"voor lokaal gebruik tegen ectoparasieten";dermato_uemvb
glucocortico_duemvb;Glucocorticoids;Glucocorticoïdes;Glucocorticoïden;dermato_uemvb
associations_duemvb;Associations;Associations;Associaties;dermato_uemvb
prepa_cicatri_duemvb;"Healing preparation";"Préparation cicatrisante";"Cicatriserende stoffen";dermato_uemvb
ophtalmo_uemvb;Ophthalmological;Ophtalmologique;"Gebruik in het oog";usage_ext_med_vt_bg
otique_uemvb;Optical;Otique;"Gebruik in het oor";usage_ext_med_vt_bg
intra_uter_uemvb;Intra-uterine;Intra-utérin;Intra-uterien;usage_ext_med_vt_bg
intrmam_uemvb;Intra-mammary;Intramammaire;Intramammair;usage_ext_med_vt_bg
immuno_med_vt_bg;Immunology;Immunologie;Immunologie;med_vt_bg
vaccin_imvb;Vaccines;Vaccins;Vaccins;immuno_med_vt_bg
vaccins_antirabiq_imvb;"Rabies vaccines";"Vaccins antirabiques";Rabiësvaccins;immuno_med_vt_bg
serum_et_immunoglob_imvb;"Serums and immunoglobulins";"Sérums et immunoglobines";"Antisera en immunoglobines";immuno_med_vt_bg
immunomodul_imvb;Immunomodulators;Immunomodulateurs;Immunomodulatoren;immuno_med_vt_bg
castra_immunit_imvb;"Immunitary castration";"Castration immunitaire";Immunocastratie;immuno_med_vt_bg
med_antitumorx_med_vt_bg;"Anti-tumour drugs";"Médicaments antitumoraux";"Antitumorale middelen";med_vt_bg
homeopathie_med_vt_bg;Homeopathy;Homéopathie;Homeopathie;med_vt_bg
casc_imp;"Import cascade";"Cascade importation";"Cascade import";med
anti_infect_casc_imp;Anti-infectives;Anti-infectieux;"Anti-infectieuze middelen";casc_imp
hormo_casc_imp;Hormones;Hormones;Hormonen;casc_imp
fiev_doul_inflam_casc_imp;"Fever, Pain and Inflammation";"Fièvre, Douleur et Inflammation";"Koorts, pijn en ontsteking";casc_imp
sys_gastro_intes_casc_imp;"Gastrointestinal system";"Système gastro-intestinal";"Gastro-intestinaal stelsel";casc_imp
metabo_casc_imp;Metabolism;Métabolisme;Metabolisme;casc_imp
sys_loco_casc_imp;"Musculoskeletal system";"Système locomoteur";"Locomotorisch stelsel";casc_imp
sys_respi_casc_imp;"Respiratory system";"Système respiratoire";Ademhalingsstelsel;casc_imp
sys_cario_vasc_casc_imp;"Cardiovascular system";"Système cardio-vasculaire";"Cardiovasculair stelsel";casc_imp
sys_urogeni_casc_imp;"Urogenital system";"Système urogénital";"Urogenitaal stelsel";casc_imp
sys_nvxcentr_et_peri_casc_im;"Central and peripheral nervous system";"Système nerveux central et périphérique";"Centraal en perifeer zenuwstelsel";casc_imp
med_peau_casc_imp;"Drugs for the skin";"Médicaments pour la peau";"Geneesmiddelen voor de huid";casc_imp
usage_ext_casc_imp;"External use";"Usage externe";"Uitwendig gebruik";casc_imp
immuno_casc_imp;Immunology;Immunologie;Immunologie;casc_imp
antitumorx_casc_imp;"Anti-tumour drugs";"Médicaments antitumoraux";"Antitumorale middelen";casc_imp
casc_hum;"Human drug cascade";"Cascade médicaments humains";"Cascade humane geneesmiddelen";med
paraph;Parapharmacy;Parapharmacie;Parafarmacie;med
complement_paraph;Complements;Compléments;Supplementen;paraph
anti_infectieux_complement_paraph;Anti-infectives;Anti-infectieux;"Anti-infectieuze middelen";complement_paraph
antiparasitaires_complement_paraph;Anti-parasitics;Antiparasitaires;"Antiparasitaire middelen";complement_paraph
fievre_doul_infl_complement_paraph;"Fever, Pain and Inflammation";"Fièvre, Douleur et Inflammation";"Koorts, pijn en ontsteking";complement_paraph
systeme_gi_complement_paraph;"Gastrointestinal system";"Système gastro-intestinal";"Gastro-intestinaal stelsel";complement_paraph
metabolisme_complement_paraph;Metabolism;Métabolisme;Metabolisme;complement_paraph
systeme_locomoteur_complement_paraph;"Musculoskeletal system";"Système locomoteur";"Locomotorisch stelsel";complement_paraph
systeme_respiratoire_complement_paraph;"Respiratory system";"Système respiratoire";Ademhalingssysteem;complement_paraph
systeme_cardio_vasc_complement_paraph;"Cardiovascular system";"Système cardio-vasculaire";"Cardiovasculair stelsel";complement_paraph
systeme_urogenital_complement_paraph;"Urogenital system";"Système urogénital";"Urogenitaal stelsel";complement_paraph
peau_et_phaneres_complement_paraph;"Skin and skin appendages";"Peau et phanères";"Huid en huidschilfers";complement_paraph
immunologie_complement_paraph;Immunology;Immunologie;Immunologie;complement_paraph
comportement_complement_paraph;Behaviour;Comportement;Gedrag;complement_paraph
yeux_complement_paraph;Eyes;Yeux;Ogen;complement_paraph
soin_hyg_paraph;"Health and hygiene";"Soin et hygiène";"Verzorging en hygiëne";paraph
Yeux_soinhyg_paraph;Eyes;Yeux;Ogen;soin_hyg_paraph
