id,name,origin,client_order_ref,user_id/id,state,currency_id/id,date_order,partner_id/id
__import__.sale_order_2691765_212_1,2691765,,1710224006431,__setup__.res_user_12,draft,base.EUR,2017-05-15,__import__.customer_212
__import__.sale_order_2691766_546_1,2691766,,1710222900000,__setup__.res_user_2,draft,base.EUR,2017-05-15,__import__.customer_546
__import__.sale_order_2691767_7469_1,2691767,,1710382700587,__setup__.res_user_19,draft,base.EUR,2017-05-15,__import__.customer_7469
__import__.sale_order_2691768_107_1,2691768,,,,draft,base.EUR,2017-05-15,__import__.customer_107
__import__.sale_order_2691769_6820_1,2691769,,1710380600051,__setup__.res_user_2,draft,base.EUR,2017-05-15,__import__.customer_6820
__import__.sale_order_2691770_3162_1,2691770,,1710167600112,__setup__.res_user_2,draft,base.EUR,2017-05-15,__import__.customer_3162
__import__.sale_order_2691771_2935_1,2691771,,,,draft,base.EUR,2017-05-15,__import__.customer_2935
__import__.sale_order_2691772_6613_1,2691772,,1700146300000,,draft,base.EUR,2017-05-15,__import__.customer_6613
__import__.sale_order_2691773_8878_1,2691773,,1710537600000,__setup__.res_user_2,draft,base.EUR,2017-05-15,__import__.customer_8878
__import__.sale_order_2691774_271_1,2691774,,1710224200000,__setup__.res_user_2,draft,base.EUR,2017-05-15,__import__.customer_271
__import__.sale_order_2691775_6897_1,2691775,1021,1710423101021,__setup__.res_user_2,draft,base.EUR,2017-05-15,__import__.customer_6897
__import__.sale_order_2691776_4863_1,2691776,,1710186600034,__setup__.res_user_12,draft,base.EUR,2017-05-15,__import__.customer_4863
__import__.sale_order_2691777_4752_1,2691777,,1710184200057,__setup__.res_user_19,draft,base.EUR,2017-05-15,__import__.customer_4752
