id,bin_location_id/id,product_id/id,location_id/id
__import__.product_stock_bin_5190400,__import__.location_loc_AD18B1,__import__.product_5190400,stock.stock_location_stock
__import__.product_stock_bin_1484054,__import__.location_loc_GBM303,__import__.product_1484054,stock.stock_location_stock
__import__.product_stock_bin_2892545,__import__.location_loc_AM06B0,__import__.product_2892545,stock.stock_location_stock
__import__.product_stock_bin_4500284,__import__.location_loc_AA10A1,__import__.product_4500284,stock.stock_location_stock
__import__.product_stock_bin_8031537,__import__.location_loc_GC32B2,__import__.product_8031537,stock.stock_location_stock
__import__.product_stock_bin_6775630,__import__.location_loc_GE10B4,__import__.product_6775630,stock.stock_location_stock
__import__.product_stock_bin_8270104,__import__.location_loc_GGL304,__import__.product_8270104,stock.stock_location_stock
__import__.product_stock_bin_3103801,__import__.location_loc_GC10C1,__import__.product_3103801,stock.stock_location_stock
__import__.product_stock_bin_5471816,__import__.location_loc_GE04B4,__import__.product_5471816,stock.stock_location_stock
__import__.product_stock_bin_0037028,__import__.location_loc_QMA110,__import__.product_0037028,stock.stock_location_stock
__import__.product_stock_bin_1367754,__import__.location_loc_GI01A5,__import__.product_1367754,stock.stock_location_stock
__import__.product_stock_bin_5823446,__import__.location_loc_AF03A3,__import__.product_5823446,stock.stock_location_stock
