product_tmpl_id/id,name/id,id
__import__.product_0031468_product_template,scenario.supplier_63195,__import__.supplierinfo_63195-0031468
__import__.product_0033019_product_template,scenario.supplier_63195,__import__.supplierinfo_63195-0033019
__import__.product_0033050_product_template,scenario.supplier_63195,__import__.supplierinfo_63195-0033050
__import__.product_0033282_product_template,scenario.supplier_63195,__import__.supplierinfo_63195-0033282
__import__.product_0033530_product_template,scenario.supplier_77340,__import__.supplierinfo_77340-0033530
__import__.product_0033548_product_template,scenario.supplier_63195,__import__.supplierinfo_63195-0033548
__import__.product_0033571_product_template,scenario.supplier_63195,__import__.supplierinfo_63195-0033571
__import__.product_0033795_product_template,scenario.supplier_63195,__import__.supplierinfo_63195-0033795
__import__.product_0033910_product_template,scenario.supplier_63195,__import__.supplierinfo_63195-0033910
__import__.product_0034009_product_template,scenario.supplier_63195,__import__.supplierinfo_63195-0034009
__import__.product_0034058_product_template,scenario.supplier_63195,__import__.supplierinfo_63195-0034058
__import__.product_0034637_product_template,scenario.supplier_63195,__import__.supplierinfo_63195-0034637
__import__.product_0035000_product_template,scenario.supplier_63195,__import__.supplierinfo_63195-0035000
__import__.product_0035434_product_template,scenario.supplier_66155,__import__.supplierinfo_66155-0035434
__import__.product_0035469_product_template,scenario.supplier_77340,__import__.supplierinfo_77340-0035469
__import__.product_0035600_product_template,scenario.supplier_63195,__import__.supplierinfo_63195-0035600
__import__.product_0035725_product_template,scenario.supplier_63195,__import__.supplierinfo_63195-0035725
__import__.product_0036517_product_template,scenario.supplier_63195,__import__.supplierinfo_63195-0036517
__import__.product_0036566_product_template,scenario.supplier_63195,__import__.supplierinfo_63195-0036566
__import__.product_0036632_product_template,scenario.supplier_63195,__import__.supplierinfo_63195-0036632
__import__.product_0036707_product_template,scenario.supplier_63195,__import__.supplierinfo_63195-0036707
__import__.product_0037028_product_template,scenario.supplier_83300,__import__.supplierinfo_83300-0037028
__import__.product_0037077_product_template,scenario.supplier_79201,__import__.supplierinfo_79201-0037077
