id,name,bin_checksum_1,location_id/id,kind,zone,corridor,shelf,height,box
__import__.location_loc_AB08B2,AB08B2,03,__import__.location_family_A,bin,A,B,08,B,2
__import__.location_loc_GBV204,GBV204,05,__import__.location_family_G,bin,G,B,V,2,04
__import__.location_loc_AI14B8,AI14B8,43,__import__.location_family_A,bin,A,I,14,B,8
__import__.location_loc_AA13B1,AA13B1,45,__import__.location_family_A,bin,A,A,13,B,1
__import__.location_loc_GBF405,GBF405,43,__import__.location_family_G,bin,G,B,F,4,05
__import__.location_loc_AB03B3,AB03B3,53,__import__.location_family_A,bin,A,B,03,B,3
__import__.location_loc_QBF420,QBF420,67,__import__.location_family_Q,bin,Q,B,F,4,20
__import__.location_loc_QJA235,QJA235,65,__import__.location_family_Q,bin,Q,J,A,2,35
__import__.location_loc_QBD310,QBD310,66,__import__.location_family_Q,bin,Q,B,D,3,10
__import__.location_loc_QBA420,QBA420,25,__import__.location_family_Q,bin,Q,B,A,4,20
__import__.location_loc_GBE201,GBE201,76,__import__.location_family_G,bin,G,B,E,2,01
__import__.location_loc_GBL302,GBL302,95,__import__.location_family_G,bin,G,B,L,3,02
__import__.location_loc_GL10A2,GL10A2,62,__import__.location_family_G,bin,G,L,1,0,A2
__import__.location_loc_GGD405,GGD405,98,__import__.location_family_G,bin,G,G,D,4,05
