id,name,bin_checksum_1,location_id/id,kind,zone,corridor,shelf,height,box
__import__.location_loc_QBE210,QBE210,78,__import__.location_family_Q,bin,Q,B,E,2,10
__import__.location_loc_GK03A2,GK03A2,87,__import__.location_family_G,bin,G,K,0,3,A2
__import__.location_loc_GK02B1,GK02B1,54,__import__.location_family_G,bin,G,K,0,2,B1
__import__.location_loc_GD12A2,GD12A2,15,__import__.location_family_G,bin,G,D,1,2,A2
__import__.location_loc_GGF101,GGF101,65,__import__.location_family_G,bin,G,G,F,1,01
__import__.location_loc_GE04C2,GE04C2,81,__import__.location_family_G,bin,G,E,0,4,C2
__import__.location_loc_GAI145,GAI145,15,__import__.location_family_G,bin,G,A,I,1,45
__import__.location_loc_GC21A2,GC21A2,49,__import__.location_family_G,bin,G,C,2,1,A2
__import__.location_loc_GK09A2,GK09A2,29,__import__.location_family_G,bin,G,K,0,9,A2
__import__.location_loc_GC21A1,GC21A1,08,__import__.location_family_G,bin,G,C,2,1,A1
__import__.location_loc_AD14A2,AD14A2,64,__import__.location_family_A,bin,A,D,14,A,2
__import__.location_loc_GE09G4,GE09G4,83,__import__.location_family_G,bin,G,E,0,9,G4
__import__.location_loc_GD25A4,GD25A4,92,__import__.location_family_G,bin,G,D,2,5,A4
__import__.location_loc_GK06A2,GK06A2,18,__import__.location_family_G,bin,G,K,0,6,A2
__import__.location_loc_GH09E4,GH09E4,32,__import__.location_family_G,bin,G,H,0,9,E4
__import__.location_loc_GGM204,GGM204,81,__import__.location_family_G,bin,G,G,M,2,04
__import__.location_loc_GBX201,GBX201,97,__import__.location_family_G,bin,G,B,X,2,01
__import__.location_loc_GD22D5,GD22D5,03,__import__.location_family_G,bin,G,D,2,2,D5
__import__.location_loc_GE28B2,GE28B2,40,__import__.location_family_G,bin,G,E,2,8,B2
__import__.location_loc_GC23B3,GC23B3,75,__import__.location_family_G,bin,G,C,2,3,B3
__import__.location_loc_GGL502,GGL502,65,__import__.location_family_G,bin,G,G,L,5,02
__import__.location_loc_QJA130,QJA130,16,__import__.location_family_Q,bin,Q,J,A,1,30
