id,create_date,default_code,list_price,standard_price,indicated_price,sale_delay,weight,length,width,depth,uom_po_id/id,uom_id/id,medical_device,cnk_code,web_published,barcode,tracking,taxes_id/id,supplier_taxes_id/id,categ_id/id,type,state_id/id,unit_in_shrink_wrap,unit_in_box,unit_in_pallet,storage_temperature_id/id,ratio_main_product,ratio_additional_product,orderpoint_min,orderpoint_max,veterinary_only,route_ids/id,active,name,price_category_id/id,manufacturer/id,orderpoint_qty_multiple
__import__.product_2353829,2006-10-24,2353829,4.20,2.97,6.46,0,0.20,5.20,5.20,9.70,product.product_uom_unit,product.product_uom_unit,,2353829,True,,lot,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out",l10n_be.1_attn_VAT-IN-V81-06,specific_data.product_categ_hormones,product,,0,12,0,specific_product.product_storage_temperature_15,0,0,210.000,783.000,,purchase.route_warehouse0_buy,True,OXYTOCINE 100ML KELA,,__import__.supplier_83300,1
__import__.product_2379758,2007-05-22,2379758,8.40,6.21,12.91,0,0.07,9.30,7.50,4.20,product.product_uom_unit,product.product_uom_unit,,2379758,True,,lot,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out",l10n_be.1_attn_VAT-IN-V81-06,specific_data.product_categ_divers_veto,product,,0,72,0,specific_product.product_storage_temperature_ambient,0,0,59.000,218.000,,purchase.route_warehouse0_buy,True,"MELOXIDYL 1,5MG  32ml",,__import__.supplier_79100,1
__import__.product_2379782,2007-04-18,2379782,6.63,5.76,10.19,0,0.01,9.20,7.00,2.00,__setup__.product_uom_boite,product.product_uom_unit,,2379782,True,,lot,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out",l10n_be.1_attn_VAT-IN-V81-06,specific_data.product_categ_divers_veto,product,,10,120,0,specific_product.product_storage_temperature_ambient,0,0,86.000,321.000,,purchase.route_warehouse0_buy,True,CERENIA  16mg 4cp,,__import__.supplier_79201,10
__import__.product_2382729,2007-02-01,2382729,8.55,7.29,15.00,0,0.15,4.80,4.80,12.80,product.product_uom_unit,product.product_uom_unit,,2728053,True,,lot,l10n_be.1_attn_VAT-OUT-21-L,l10n_be.1_attn_VAT-IN-V81-21,specific_data.product_categ_divers_para,product,,0,12,0,specific_product.product_storage_temperature_ambient,0,0,36.000,119.000,,purchase.route_warehouse0_buy,True,ACETIC OTIC (MALACETIC OTIC) 118ml,,__import__.supplier_60422,1
__import__.product_2410959,2007-04-25,2410959,18.35,13.49,28.21,0,0.11,5.70,3.30,14.00,product.product_uom_unit,product.product_uom_unit,,2410959,True,,lot,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out",l10n_be.1_attn_VAT-IN-V81-06,specific_data.product_categ_topiques,product,,36,36,0,specific_product.product_storage_temperature_ambient,0,0,70.000,204.000,,purchase.route_warehouse0_buy,True,CORTAVANCE SPRAY 76ml,,__import__.supplier_81200,36
__import__.product_2413615,2013-11-12,2413615,0.01,4.40,9999999999.99,0,0.01,0,0,0,product.product_uom_unit,product.product_uom_unit,,2413615,True,,none,l10n_be.1_attn_VAT-OUT-06-L,l10n_be.1_attn_VAT-IN-V81-06,specific_data.product_categ_humain,service,,0,0,0,specific_product.product_storage_temperature_ambient,0,0,0,0,,purchase.route_warehouse0_buy,True,HE TEA TREE HERBA HELV 10ML,,__import__.supplier_61582,0
__import__.product_2430205,2007-06-18,2430205,14.25,12.33,25.00,0,0.02,10.90,4.50,2.60,__setup__.product_uom_boite,product.product_uom_unit,,2430205,True,,lot,l10n_be.1_attn_VAT-OUT-21-L,l10n_be.1_attn_VAT-IN-V81-21,specific_data.product_categ_ali_comp,product,,12,72,0,specific_product.product_storage_temperature_ambient,0,0,43.000,161.000,,purchase.route_warehouse0_buy,True,TELIZEN S 30CP,,__import__.supplier_81200,12
__import__.product_2446532,2007-11-09,2446532,41.43,30.61,63.67,0,0.17,12.00,5.00,5.30,__setup__.product_uom_boite,product.product_uom_unit,,2446532,True,,lot,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out",l10n_be.1_attn_VAT-IN-V81-06,specific_data.product_categ_hormones,product,,0,90,0,specific_product.product_storage_temperature_ambient,0,0,10.000,30.000,,purchase.route_warehouse0_buy,True,ENZAPROST 10x5ML,,__import__.supplier_79100,1
__import__.product_2451672,2007-11-07,2451672,146.46,88.66,225.10,0,0.05,4.20,4.20,8.40,product.product_uom_unit,product.product_uom_unit,,2451672,True,,lot,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out",l10n_be.1_attn_VAT-IN-V81-06,specific_data.product_categ_sys_nerveux,product,,0,0,0,specific_product.product_storage_temperature_ambient,0,0,8.000,23.000,,purchase.route_warehouse0_buy,True,MEDESEDAN 20ml,,__import__.supplier_81200,1
__import__.product_2488740,2008-08-12,2488740,13.81,9.61,21.22,0,0.07,5.20,5.50,11.80,product.product_uom_unit,product.product_uom_unit,,2488740,False,,lot,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out",l10n_be.1_attn_VAT-IN-V81-06,specific_data.product_categ_divers_veto,product,specific_purchase.product_state_l,48,48,0,specific_product.product_storage_temperature_ambient,0,0,0,0,,purchase.route_warehouse0_buy,False,CARPRODYL F  20MG 100CP,,__import__.supplier_79100,0
