id,location_id/id,product_qty,product_id/id,prod_lot_id/id
__import__.stock_inventory_line_F1717802_5192007,__import__.location_loc_GD22E7,4,__import__.product_5192007,__import__.stock_production_lot_F1717802_5192007
__import__.stock_inventory_line_G0520_1013192,__import__.location_loc_GK04A4,159,__import__.product_1013192,__import__.stock_production_lot_G0520_1013192
__import__.stock_inventory_line_H20303B11_1013481,__import__.location_loc_GBS204,17,__import__.product_1013481,__import__.stock_production_lot_H20303B11_1013481
__import__.stock_inventory_line_H20304B12_1013481,__import__.location_loc_GBS204,20,__import__.product_1013481,__import__.stock_production_lot_H20304B12_1013481
__import__.stock_inventory_line_I33335B_2959773,__import__.location_loc_GE20D5,47,__import__.product_2959773,__import__.stock_production_lot_I33335B_2959773
__import__.stock_inventory_line_I33369_3254588,__import__.location_loc_GBK409,67,__import__.product_3254588,__import__.stock_production_lot_I33369_3254588
__import__.stock_inventory_line_J6M1313LX_8008337,__import__.location_loc_GGC404,14,__import__.product_8008337,__import__.stock_production_lot_J6M1313LX_8008337
__import__.stock_inventory_line_J6M1692LX_8008337,__import__.location_loc_GGC404,60,__import__.product_8008337,__import__.stock_production_lot_J6M1692LX_8008337
__import__.stock_inventory_line_J7F1363LX_8008337,__import__.location_loc_GGC404,12,__import__.product_8008337,__import__.stock_production_lot_J7F1363LX_8008337
__import__.stock_inventory_line_KHP160_8010469,__import__.location_loc_EXA600,36,__import__.product_8010469,__import__.stock_production_lot_KHP160_8010469
__import__.stock_inventory_line_KKH237_8288928,__import__.location_loc_EXA600,42,__import__.product_8288928,__import__.stock_production_lot_KKH237_8288928
__import__.stock_inventory_line_KPOC4GR_1357219,__import__.location_loc_GBP411,781,__import__.product_1357219,__import__.stock_production_lot_KPOC4GR_1357219
__import__.stock_inventory_line_KPOC4VS_1357201,__import__.location_loc_GI13B1,957,__import__.product_1357201,__import__.stock_production_lot_KPOC4VS_1357201
__import__.stock_inventory_line_KPOC72S_1088897,__import__.location_loc_GK14A3,17,__import__.product_1088897,__import__.stock_production_lot_KPOC72S_1088897
__import__.stock_inventory_line_KPOC72T_1088897,__import__.location_loc_GK14A3,110,__import__.product_1088897,__import__.stock_production_lot_KPOC72T_1088897
__import__.stock_inventory_line_KP0BU7E_1088897,__import__.location_loc_GK14A3,1,__import__.product_1088897,__import__.stock_production_lot_KP0BU7E_1088897
__import__.stock_inventory_line_KP0CBGR_2065688,__import__.location_loc_GBC204,117,__import__.product_2065688,__import__.stock_production_lot_KP0CBGR_2065688
__import__.stock_inventory_line_KP0CBVZ_0616300,__import__.location_loc_GBT117,37,__import__.product_0616300,__import__.stock_production_lot_KP0CBVZ_0616300
__import__.stock_inventory_line_KP0CCJD_6260010,__import__.location_loc_GK12A4,69,__import__.product_6260010,__import__.stock_production_lot_KP0CCJD_6260010
__import__.stock_inventory_line_KP0CC7B_2890184,__import__.location_loc_GBA501,864,__import__.product_2890184,__import__.stock_production_lot_KP0CC7B_2890184
__import__.stock_inventory_line_KP0CE2U_0029132,__import__.location_loc_GI11A1,498,__import__.product_0029132,__import__.stock_production_lot_KP0CE2U_0029132
__import__.stock_inventory_line_KP0CFDP_2886943,__import__.location_loc_GBD313,261,__import__.product_2886943,__import__.stock_production_lot_KP0CFDP_2886943
__import__.stock_inventory_line_KP0CFG4_2886943,__import__.location_loc_GBD313,84,__import__.product_2886943,__import__.stock_production_lot_KP0CFG4_2886943
__import__.stock_inventory_line_KP0CK0T_2087088,__import__.location_loc_GI05B4,700,__import__.product_2087088,__import__.stock_production_lot_KP0CK0T_2087088
__import__.stock_inventory_line_KP0C202_2065688,__import__.location_loc_GBC204,1,__import__.product_2065688,__import__.stock_production_lot_KP0C202_2065688
__import__.stock_inventory_line_KP0C4VS_1357201,__import__.location_loc_GI13B1,120,__import__.product_1357201,__import__.stock_production_lot_KP0C4VS_1357201
__import__.stock_inventory_line_KP0C5L4_0616300,__import__.location_loc_GBT117,1,__import__.product_0616300,__import__.stock_production_lot_KP0C5L4_0616300
__import__.stock_inventory_line_KP0C6BU_1154590,__import__.location_loc_GBP101,86,__import__.product_1154590,__import__.stock_production_lot_KP0C6BU_1154590
__import__.stock_inventory_line_KP0C6UK_2656759,__import__.location_loc_GBY304,375,__import__.product_2656759,__import__.stock_production_lot_KP0C6UK_2656759
__import__.stock_inventory_line_KP0C689_2087088,__import__.location_loc_GI05B4,9,__import__.product_2087088,__import__.stock_production_lot_KP0C689_2087088
__import__.stock_inventory_line_K001_1202969,__import__.location_loc_GGL402,126,__import__.product_1202969,__import__.stock_production_lot_K001_1202969
__import__.stock_inventory_line_K1361630_1013390,__import__.location_loc_GBP211,122,__import__.product_1013390,__import__.stock_production_lot_K1361630_1013390
__import__.stock_inventory_line_K1380127_0428060,__import__.location_loc_GBV302,28,__import__.product_0428060,__import__.stock_production_lot_K1380127_0428060
__import__.stock_inventory_line_LAH799_8010469,__import__.location_loc_EXA600,3,__import__.product_8010469,__import__.stock_production_lot_LAH799_8010469
__import__.stock_inventory_line_LC37041A_2932531,__import__.location_loc_GGU305,21,__import__.product_2932531,__import__.stock_production_lot_LC37041A_2932531
__import__.stock_inventory_line_LE6758583_3127958,__import__.location_loc_GGG304,557,__import__.product_3127958,__import__.stock_production_lot_LE6758583_3127958
__import__.stock_inventory_line_LE6894303_3127958,__import__.location_loc_GGG304,395,__import__.product_3127958,__import__.stock_production_lot_LE6894303_3127958
__import__.stock_inventory_line_LE7320202_3038825,__import__.location_loc_GE14C1,26,__import__.product_3038825,__import__.stock_production_lot_LE7320202_3038825
__import__.stock_inventory_line_L443808_6826681,__import__.location_loc_QF06A3,106,__import__.product_6826681,__import__.stock_production_lot_L443808_6826681
__import__.stock_inventory_line_L444648_6791675,__import__.location_loc_QA07D1,3,__import__.product_6791675,__import__.stock_production_lot_L444648_6791675
__import__.stock_inventory_line_L445447_6791675,__import__.location_loc_QA07D1,5,__import__.product_6791675,__import__.stock_production_lot_L445447_6791675
__import__.stock_inventory_line_L446977_1203074,__import__.location_loc_QF05B4,420,__import__.product_1203074,__import__.stock_production_lot_L446977_1203074
__import__.stock_inventory_line_L447338_3424371,__import__.location_loc_QF08D2,50,__import__.product_3424371,__import__.stock_production_lot_L447338_3424371
__import__.stock_inventory_line_L448254_6826681,__import__.location_loc_QF06A3,68,__import__.product_6826681,__import__.stock_production_lot_L448254_6826681
__import__.stock_inventory_line_L448738_2251874,__import__.location_loc_QA03D3,25,__import__.product_2251874,__import__.stock_production_lot_L448738_2251874
__import__.stock_inventory_line_L449352_2251841,__import__.location_loc_QF08D3,32,__import__.product_2251841,__import__.stock_production_lot_L449352_2251841
__import__.stock_inventory_line_M003_1389741,__import__.location_loc_GD28C6,2,__import__.product_1389741,__import__.stock_production_lot_M003_1389741
__import__.stock_inventory_line_P099396_2761435,__import__.location_loc_GC30A1,3,__import__.product_2761435,__import__.stock_production_lot_P099396_2761435
__import__.stock_inventory_line_P101059_2761435,__import__.location_loc_GC30A1,20,__import__.product_2761435,__import__.stock_production_lot_P101059_2761435
__import__.stock_inventory_line_P10105910_2761435,__import__.location_loc_GC30A1,1,__import__.product_2761435,__import__.stock_production_lot_P10105910_2761435
__import__.stock_inventory_line_P46417H18_5064464,__import__.location_loc_GC09E4,25,__import__.product_5064464,__import__.stock_production_lot_P46417H18_5064464
__import__.stock_inventory_line_P87721_2761435,__import__.location_loc_GC30A1,1,__import__.product_2761435,__import__.stock_production_lot_P87721_2761435
__import__.stock_inventory_line_RH29_5192761,__import__.location_loc_GBY205,5,__import__.product_5192761,__import__.stock_production_lot_RH29_5192761
__import__.stock_inventory_line_RXR0371EA_0676023,__import__.location_loc_GBG513,266,__import__.product_0676023,__import__.stock_production_lot_RXR0371EA_0676023
__import__.stock_inventory_line_RXR0401AF_6891595,__import__.location_loc_GD04B6,50,__import__.product_6891595,__import__.stock_production_lot_RXR0401AF_6891595
__import__.stock_inventory_line_SC0104_3109634,__import__.location_loc_GD17D6,26,__import__.product_3109634,__import__.stock_production_lot_SC0104_3109634
__import__.stock_inventory_line_S1R0611BA_0864058,__import__.location_loc_GBD513,149,__import__.product_0864058,__import__.stock_production_lot_S1R0611BA_0864058
__import__.stock_inventory_line_S1R0741CA_0864066,__import__.location_loc_GBA515,145,__import__.product_0864066,__import__.stock_production_lot_S1R0741CA_0864066
__import__.stock_inventory_line_T39313_2853240,__import__.location_loc_GD12B3,927,__import__.product_2853240,__import__.stock_production_lot_T39313_2853240
__import__.stock_inventory_line_T85408_2853299,__import__.location_loc_GGG203,111,__import__.product_2853299,__import__.stock_production_lot_T85408_2853299
__import__.stock_inventory_line_U036A02_3103801,__import__.location_loc_GC10C1,42,__import__.product_3103801,__import__.stock_production_lot_U036A02_3103801
__import__.stock_inventory_line_U038A06_3103801,__import__.location_loc_GC10C1,60,__import__.product_3103801,__import__.stock_production_lot_U038A06_3103801
__import__.stock_inventory_line_U118A01_3103892,__import__.location_loc_GBM517,58,__import__.product_3103892,__import__.stock_production_lot_U118A01_3103892
__import__.stock_inventory_line_U136A01_3103884,__import__.location_loc_GBK505,159,__import__.product_3103884,__import__.stock_production_lot_U136A01_3103884
__import__.stock_inventory_line_U179A01_3103892,__import__.location_loc_GBM517,100,__import__.product_3103892,__import__.stock_production_lot_U179A01_3103892
__import__.stock_inventory_line_U369A01_3103819,__import__.location_loc_GBX413,380,__import__.product_3103819,__import__.stock_production_lot_U369A01_3103819
__import__.stock_inventory_line_U554A02_3103850,__import__.location_loc_GBH404,602,__import__.product_3103850,__import__.stock_production_lot_U554A02_3103850
__import__.stock_inventory_line_XD296_1384726,__import__.location_loc_GF24E7,1,__import__.product_1384726,__import__.stock_production_lot_XD296_1384726
__import__.stock_inventory_line_ZAN02801_2690071,__import__.location_loc_GAI110,454,__import__.product_2690071,__import__.stock_production_lot_ZAN02801_2690071
__import__.stock_inventory_line_Z75K193B_4373726,__import__.location_loc_GGH405,690,__import__.product_4373726,__import__.stock_production_lot_Z75K193B_4373726
__import__.stock_inventory_line_0151592_1193515,__import__.location_loc_QE11B6,238,__import__.product_1193515,__import__.stock_production_lot_0151592_1193515
__import__.stock_inventory_line_0171523_8270095,__import__.location_loc_GGL106,377,__import__.product_8270095,__import__.stock_production_lot_0171523_8270095
__import__.stock_inventory_line_0173132_6722214,__import__.location_loc_GD03B3,9,__import__.product_6722214,__import__.stock_production_lot_0173132_6722214
__import__.stock_inventory_line_0173354_8270104,__import__.location_loc_GGL304,315,__import__.product_8270104,__import__.stock_production_lot_0173354_8270104
__import__.stock_inventory_line_0706FG1A_2751410,__import__.location_loc_QE12D1,53,__import__.product_2751410,__import__.stock_production_lot_0706FG1A_2751410
__import__.stock_inventory_line_089236_2081784,__import__.location_loc_GF12F4,47,__import__.product_2081784,__import__.stock_production_lot_089236_2081784
__import__.stock_inventory_line_092978_1421825,__import__.location_loc_GBM305,75,__import__.product_1421825,__import__.stock_production_lot_092978_1421825
__import__.stock_inventory_line_095960_1421825,__import__.location_loc_GBM305,60,__import__.product_1421825,__import__.stock_production_lot_095960_1421825
__import__.stock_inventory_line_095965_2081784,__import__.location_loc_GF12F4,108,__import__.product_2081784,__import__.stock_production_lot_095965_2081784
__import__.stock_inventory_line_100723101207_2761427,__import__.location_loc_GGM103,18,__import__.product_2761427,__import__.stock_production_lot_100723101207_2761427
__import__.stock_inventory_line_111161286_6819273,__import__.location_loc_QA06B3,10,__import__.product_6819273,__import__.stock_production_lot_111161286_6819273
__import__.stock_inventory_line_11116186_6819273,__import__.location_loc_QA06B3,2,__import__.product_6819273,__import__.stock_production_lot_11116186_6819273
__import__.stock_inventory_line_1404484_1510635,__import__.location_loc_GI03B2,270,__import__.product_1510635,__import__.stock_production_lot_1404484_1510635
__import__.stock_inventory_line_1410991_2829695,__import__.location_loc_GE08C3,47,__import__.product_2829695,__import__.stock_production_lot_1410991_2829695
__import__.stock_inventory_line_1413069_5471625,__import__.location_loc_GE26A4,87,__import__.product_5471625,__import__.stock_production_lot_1413069_5471625
__import__.stock_inventory_line_1413570_5471816,__import__.location_loc_GE04B4,29,__import__.product_5471816,__import__.stock_production_lot_1413570_5471816
__import__.stock_inventory_line_1413689_5471816,__import__.location_loc_GE04B4,242,__import__.product_5471816,__import__.stock_production_lot_1413689_5471816
__import__.stock_inventory_line_1413785_5471516,__import__.location_loc_GL14B5,454,__import__.product_5471516,__import__.stock_production_lot_1413785_5471516
__import__.stock_inventory_line_1439161_2186849,__import__.location_loc_GBK305,1,__import__.product_2186849,__import__.stock_production_lot_1439161_2186849
__import__.stock_inventory_line_1439745_2829703,__import__.location_loc_GC20D2,50,__import__.product_2829703,__import__.stock_production_lot_1439745_2829703
__import__.stock_inventory_line_1439756_2829752,__import__.location_loc_GC21B1,42,__import__.product_2829752,__import__.stock_production_lot_1439756_2829752
__import__.stock_inventory_line_15G012_2561165,__import__.location_loc_GGH406,23,__import__.product_2561165,__import__.stock_production_lot_15G012_2561165
__import__.stock_inventory_line_15L02_1761865,__import__.location_loc_GGL502,366,__import__.product_1761865,__import__.stock_production_lot_15L02_1761865
__import__.stock_inventory_line_1505_1118876,__import__.location_loc_GC31E1,12,__import__.product_1118876,__import__.stock_production_lot_1505_1118876
__import__.stock_inventory_line_1522614_1510635,__import__.location_loc_GI03B2,135,__import__.product_1510635,__import__.stock_production_lot_1522614_1510635
__import__.stock_inventory_line_1522624_2186849,__import__.location_loc_GBK305,362,__import__.product_2186849,__import__.stock_production_lot_1522624_2186849
__import__.stock_inventory_line_1523632_2829737,__import__.location_loc_GC26C1,13,__import__.product_2829737,__import__.stock_production_lot_1523632_2829737
__import__.stock_inventory_line_16A18732_2738268,__import__.location_loc_GF27C1,9,__import__.product_2738268,__import__.stock_production_lot_16A18732_2738268
__import__.stock_inventory_line_16C167_2561165,__import__.location_loc_GGH406,1,__import__.product_2561165,__import__.stock_production_lot_16C167_2561165
__import__.stock_inventory_line_16D297_3025855,__import__.location_loc_GD09B2,56,__import__.product_3025855,__import__.stock_production_lot_16D297_3025855
__import__.stock_inventory_line_16D297_3025848,__import__.location_loc_GGH403,2,__import__.product_3025848,__import__.stock_production_lot_16D297_3025848
__import__.stock_inventory_line_16J1201F6_3016003,__import__.location_loc_GE07G7,14,__import__.product_3016003,__import__.stock_production_lot_16J1201F6_3016003
__import__.stock_inventory_line_16J193_2451672,__import__.location_loc_GH11B9,4,__import__.product_2451672,__import__.stock_production_lot_16J193_2451672
__import__.stock_inventory_line_16L22_3052990,__import__.location_loc_GE14A1,38,__import__.product_3052990,__import__.stock_production_lot_16L22_3052990
__import__.stock_inventory_line_16040809_5090362,__import__.location_loc_GL10A2,9,__import__.product_5090362,__import__.stock_production_lot_16040809_5090362
__import__.stock_inventory_line_16040923_5090362,__import__.location_loc_GL10A2,48,__import__.product_5090362,__import__.stock_production_lot_16040923_5090362
__import__.stock_inventory_line_16060991_1203264,__import__.location_loc_GGL201,54,__import__.product_1203264,__import__.stock_production_lot_16060991_1203264
__import__.stock_inventory_line_162B7CD_3433869,__import__.location_loc_GE20A5,5,__import__.product_3433869,__import__.stock_production_lot_162B7CD_3433869
__import__.stock_inventory_line_16249H_2340453,__import__.location_loc_GF12C5,86,__import__.product_2340453,__import__.stock_production_lot_16249H_2340453
__import__.stock_inventory_line_16392413_2837268,__import__.location_loc_GK11A2,22,__import__.product_2837268,__import__.stock_production_lot_16392413_2837268
__import__.stock_inventory_line_1653A1_7910041,__import__.location_loc_GI13A3,926,__import__.product_7910041,__import__.stock_production_lot_1653A1_7910041
__import__.stock_inventory_line_17A052_2710846,__import__.location_loc_GD02F7,150,__import__.product_2710846,__import__.stock_production_lot_17A052_2710846
__import__.stock_inventory_line_17A131_2876597,__import__.location_loc_GC06D2,18,__import__.product_2876597,__import__.stock_production_lot_17A131_2876597
__import__.stock_inventory_line_17A19011_3041282,__import__.location_loc_GF23C4,54,__import__.product_3041282,__import__.stock_production_lot_17A19011_3041282
__import__.stock_inventory_line_17BQ056_1525641,__import__.location_loc_GGH501,75,__import__.product_1525641,__import__.stock_production_lot_17BQ056_1525641
__import__.stock_inventory_line_17D035_7760300,__import__.location_loc_GBA111,133,__import__.product_7760300,__import__.stock_production_lot_17D035_7760300
__import__.stock_inventory_line_17D036_2451672,__import__.location_loc_GH11B9,20,__import__.product_2451672,__import__.stock_production_lot_17D036_2451672
__import__.stock_inventory_line_17D115_1206853,__import__.location_loc_GF13E1,18,__import__.product_1206853,__import__.stock_production_lot_17D115_1206853
__import__.stock_inventory_line_17D14G8903_8189008,__import__.location_loc_GE08B3,43,__import__.product_8189008,__import__.stock_production_lot_17D14G8903_8189008
__import__.stock_inventory_line_17F011_3025848,__import__.location_loc_GGH403,476,__import__.product_3025848,__import__.stock_production_lot_17F011_3025848
__import__.stock_inventory_line_17F02_7920013,__import__.location_loc_GC23A1,17,__import__.product_7920013,__import__.stock_production_lot_17F02_7920013
__import__.stock_inventory_line_17F26188_1633163,__import__.location_loc_GD22E6,16,__import__.product_1633163,__import__.stock_production_lot_17F26188_1633163
__import__.stock_inventory_line_17G03_7920013,__import__.location_loc_GC23A1,98,__import__.product_7920013,__import__.stock_production_lot_17G03_7920013
__import__.stock_inventory_line_17G03_7920036,__import__.location_loc_GD08A2,2,__import__.product_7920036,__import__.stock_production_lot_17G03_7920036
__import__.stock_inventory_line_17G03G8904_8189008,__import__.location_loc_GE08B3,100,__import__.product_8189008,__import__.stock_production_lot_17G03G8904_8189008
__import__.stock_inventory_line_17H21G8333_8189008,__import__.location_loc_GE08B3,150,__import__.product_8189008,__import__.stock_production_lot_17H21G8333_8189008
__import__.stock_inventory_line_17I101_2951515,__import__.location_loc_GD08E3,112,__import__.product_2951515,__import__.stock_production_lot_17I101_2951515
__import__.stock_inventory_line_17I15_7920036,__import__.location_loc_GD08A2,15,__import__.product_7920036,__import__.stock_production_lot_17I15_7920036
__import__.stock_inventory_line_17I15_7920005,__import__.location_loc_GC02D2,8,__import__.product_7920005,__import__.stock_production_lot_17I15_7920005
__import__.stock_inventory_line_17I15_7920014,__import__.location_loc_GC25A2,227,__import__.product_7920014,__import__.stock_production_lot_17I15_7920014
__import__.stock_inventory_line_17I211_2864239,__import__.location_loc_GGT204,20,__import__.product_2864239,__import__.stock_production_lot_17I211_2864239
__import__.stock_inventory_line_17J04_1112622,__import__.location_loc_GBP315,195,__import__.product_1112622,__import__.stock_production_lot_17J04_1112622
