id,bin_location_id/id,product_id/id,location_id/id
__import__.product_stock_bin_5822098,__import__.location_loc_AA03B3,__import__.product_5822098_product_template,stock.stock_location_stock
__import__.product_stock_bin_3038825,__import__.location_loc_GE14C1,__import__.product_3038825_product_template,stock.stock_location_stock
__import__.product_stock_bin_5620096,__import__.location_loc_GBB203,__import__.product_5620096_product_template,stock.stock_location_stock
__import__.product_stock_bin_6826681,__import__.location_loc_QF06A3,__import__.product_6826681_product_template,stock.stock_location_stock
__import__.product_stock_bin_5164542,__import__.location_loc_AI11B4,__import__.product_5164542_product_template,stock.stock_location_stock
__import__.product_stock_bin_1198068,__import__.location_loc_GI11B4,__import__.product_1198068_product_template,stock.stock_location_stock
__import__.product_stock_bin_7196822,__import__.location_loc_AD11B1,__import__.product_7196822_product_template,stock.stock_location_stock
__import__.product_stock_bin_8002501,__import__.location_loc_GK05B5,__import__.product_8002501_product_template,stock.stock_location_stock
__import__.product_stock_bin_8330011,__import__.location_loc_QF03B1,__import__.product_8330011_product_template,stock.stock_location_stock
__import__.product_stock_bin_5829183,__import__.location_loc_AA02A3,__import__.product_5829183_product_template,stock.stock_location_stock
__import__.product_stock_bin_6931194,__import__.location_loc_GD02D4,__import__.product_6931194_product_template,stock.stock_location_stock
__import__.product_stock_bin_3433869,__import__.location_loc_GE20A5,__import__.product_3433869_product_template,stock.stock_location_stock
__import__.product_stock_bin_4160103,__import__.location_loc_AA06B3,__import__.product_4160103_product_template,stock.stock_location_stock
__import__.product_stock_bin_2853240,__import__.location_loc_GD12B3,__import__.product_2853240_product_template,stock.stock_location_stock
__import__.product_stock_bin_8069250,__import__.location_loc_QE12D3,__import__.product_8069250_product_template,stock.stock_location_stock
__import__.product_stock_bin_6891595,__import__.location_loc_GD04B6,__import__.product_6891595_product_template,stock.stock_location_stock
__import__.product_stock_bin_2972297,__import__.location_loc_GE26D3,__import__.product_2972297_product_template,stock.stock_location_stock
__import__.product_stock_bin_5190400,__import__.location_loc_AD18B1,__import__.product_5190400_product_template,stock.stock_location_stock
__import__.product_stock_bin_5828647,__import__.location_loc_AA09B1,__import__.product_5828647_product_template,stock.stock_location_stock
__import__.product_stock_bin_5829003,__import__.location_loc_AC06A2,__import__.product_5829003_product_template,stock.stock_location_stock
__import__.product_stock_bin_5829001,__import__.location_loc_AB15B2,__import__.product_5829001_product_template,stock.stock_location_stock
__import__.product_stock_bin_5828665,__import__.location_loc_AB14A2,__import__.product_5828665_product_template,stock.stock_location_stock
__import__.product_stock_bin_4930043,__import__.location_loc_AC09A2,__import__.product_4930043_product_template,stock.stock_location_stock
