id,life_date,checksum,product_id/id,name
__import__.stock_production_lot_6071107_1635598,2022-03-31 00:00:00,693,__import__.product_1635598,6071107
__import__.stock_production_lot_6072501_1635598,2022-08-31 00:00:00,224,__import__.product_1635598,6072501
__import__.stock_production_lot_A96987_1688803,2020-08-31 00:00:00,538,__import__.product_1688803,A96987
__import__.stock_production_lot_A95286_1688811,2020-07-31 00:00:00,130,__import__.product_1688811,A95286
__import__.stock_production_lot_18A12_1761865,2021-01-31 00:00:00,452,__import__.product_1761865,18A12
__import__.stock_production_lot_E363A01_1791698,2019-05-31 00:00:00,767,__import__.product_1791698,E363A01
__import__.stock_production_lot_E376B01_1791698,2020-02-28 00:00:00,595,__import__.product_1791698,E376B01
__import__.stock_production_lot_KP0CBGR_2065688,2020-08-31 00:00:00,330,__import__.product_2065688,KP0CBGR
__import__.stock_production_lot_KP0CWRD_2065688,2021-01-31 00:00:00,722,__import__.product_2065688,KP0CWRD
__import__.stock_production_lot_097113_2081784,2020-05-31 00:00:00,691,__import__.product_2081784,097113
__import__.stock_production_lot_KP0CK0T_2087088,2022-08-31 00:00:00,593,__import__.product_2087088,KP0CK0T
__import__.stock_production_lot_27781A13_2115616,2019-05-31 00:00:00,870,__import__.product_2115616,27781A13
__import__.stock_production_lot_300619_2171886,2019-06-30 00:00:00,383,__import__.product_2171886,300619
__import__.stock_production_lot_310119_2171886,2019-01-31 00:00:00,182,__import__.product_2171886,310119
__import__.stock_production_lot_2614665_2186849,2020-09-30 00:00:00,462,__import__.product_2186849,2614665
__import__.stock_production_lot_6LU2_2203164,2019-10-31 00:00:00,505,__import__.product_2203164,6LU2
__import__.stock_production_lot_6NE4_2203164,2019-11-30 00:00:00,144,__import__.product_2203164,6NE4
__import__.stock_production_lot_6TGU_2203164,2020-02-28 00:00:00,965,__import__.product_2203164,6TGU
__import__.stock_production_lot_740161A_2249621,2019-10-31 00:00:00,358,__import__.product_2249621,740161A
__import__.stock_production_lot_L450473_2251841,2019-01-24 00:00:00,997,__import__.product_2251841,L450473
__import__.stock_production_lot_L454988_2251841,2019-05-07 00:00:00,627,__import__.product_2251841,L454988
__import__.stock_production_lot_820150E_2281046,2019-05-31 00:00:00,144,__import__.product_2281046,820150E
__import__.stock_production_lot_101299_2314425,2020-10-31 00:00:00,865,__import__.product_2314425,101299
__import__.stock_production_lot_16249H_2340453,2019-10-31 00:00:00,501,__import__.product_2340453,16249H
__import__.stock_production_lot_4001198_2353829,2021-03-31 00:00:00,903,__import__.product_2353829,4001198
__import__.stock_production_lot_47B1_2379758,2021-05-31 00:00:00,363,__import__.product_2379758,47B1
__import__.stock_production_lot_B140730_2379782,2020-02-28 00:00:00,131,__import__.product_2379782,B140730
