id,list_price,weight
__import__.product_5446052,47.00,
__import__.product_5446130,66.00,
__import__.product_5450054,6.00,
__import__.product_5452432,39.00,
__import__.product_5452454,1.50,
__import__.product_5481772,279.00,
__import__.product_5502403,165.00,
__import__.product_5530126,11.00,
__import__.product_5560000,28.00,
__import__.product_5560574,235.60,
__import__.product_5604289,28.00,
__import__.product_5610100,430.00,
__import__.product_5611105,570.00,
__import__.product_5632405,740.00,
__import__.product_5646018,42.00,
__import__.product_5648062,152.50,
__import__.product_5652011,78.00,
__import__.product_5653000,61.20,
__import__.product_5653003,61.20,
__import__.product_5653005,61.20,
__import__.product_5704001,94.50,
__import__.product_5710101,9.70,
__import__.product_5710380,5.20,
__import__.product_5722005,307.00,
__import__.product_5722945,180.00,
__import__.product_5727601,16.00,
__import__.product_5728222,72.80,
__import__.product_5740403,15.90,
__import__.product_5740404,15.90,
__import__.product_5745507,400.00,
__import__.product_5792031,102.00,
__import__.product_5840168,114.70,
__import__.product_5840504,18.50,
__import__.product_5840927,189.00,
__import__.product_5858505,232.50,
__import__.product_5858512,232.50,
__import__.product_5885321,1300.00,
__import__.product_5892854,65000.00,
__import__.product_5900003,89.60,
__import__.product_5900004,67.00,
__import__.product_5900930,226.80,
__import__.product_5901895,3.50,
__import__.product_5910021,29.20,
__import__.product_5910027,29.20,
__import__.product_5910122,26.90,
__import__.product_5920049,62.00,
__import__.product_5920052,29.60,
__import__.product_5921202,27.00,
__import__.product_5921353,33.60,
__import__.product_5921610,127.60,
__import__.product_5924020,20.40,
__import__.product_5942217,26.00,
__import__.product_5985052,41.50,
__import__.product_5990047,6.80,
__import__.product_5999150,38.00,
__import__.product_5999983,59.00,
__import__.product_5999993,500.00,
__import__.product_5999994,550.00,
__import__.product_5999995,200.00,
__import__.product_6011105,3.70,
__import__.product_6359999,70.20,
__import__.product_7040040,8.90,
__import__.product_7405141,110.00,
__import__.product_7920071,28.20,
__import__.product_8017342,12.70,
__import__.product_8061691,42.50,
__import__.product_8100072,50.90,
__import__.product_8123653,8.00,
__import__.product_8182331,165.00,
__import__.product_8182348,165.00,
__import__.product_8185571,1.80,
__import__.product_8192619,21.40,
__import__.product_8196155,5.40,
__import__.product_8196161,5.40,
__import__.product_8196735,1.60,
__import__.product_8198591,4.10,
__import__.product_8199780,790.00,
__import__.product_8205960,1690.00,
__import__.product_8206540,454.00,
__import__.product_8206907,12.70,
__import__.product_8215562,22.30,
__import__.product_8217503,320.00,
__import__.product_8222800,2.60,
__import__.product_8227306,1.80,
__import__.product_8228659,90.00,
__import__.product_8233910,22.40,
__import__.product_8235932,27.00,
__import__.product_8236110,31.20,
__import__.product_8236860,230.20,
__import__.product_8243400,9.10,
__import__.product_8245936,90.00,
__import__.product_8249816,8.70,
__import__.product_8251428,2.60,
__import__.product_8253812,7.00,
__import__.product_8253829,7.00,
__import__.product_8253835,7.00,
__import__.product_8253841,7.00,
__import__.product_8253858,7.00,
__import__.product_8253870,7.00,
__import__.product_8260781,22.70,
__import__.product_8275452,2480.00,
__import__.product_8275908,239.70,
__import__.product_8279160,825.00,
__import__.product_8279177,128.00,
__import__.product_8279504,1.80,
__import__.product_828010,15.60,
__import__.product_8298051,279.00,
__import__.product_8331506,6.70,
__import__.product_8340132,11.50,
__import__.product_8346086,46.80,
__import__.product_8346092,46.80,
__import__.product_8348292,82.50,
__import__.product_8361157,66.40,
__import__.product_8366835,9.10,
__import__.product_8366841,9.10,
__import__.product_8366858,9.10,
__import__.product_8378608,85.00,
__import__.product_8386364,1.40,
__import__.product_8388877,65.70,
__import__.product_8414095,65.00,
__import__.product_8425058,1.70,
__import__.product_8425236,1.50,
__import__.product_8425354,5.00,
__import__.product_8722919,210.00,
__import__.product_T455146,50.00,
__import__.product_T553204,50.00,
__import__.product_T600832,50.00,
__import__.product_T600874,50.00,
__import__.product_T604965,50.00,
__import__.product_T620004,50.00,
__import__.product_T660074,50.00,
__import__.product_T743467,50.00,
__import__.product_T908986,50.00,
__import__.product_T_7420040,50.00,
