id,width,length,depth,weight
__import__.product_2372829,4,5.9,4,0.03
__import__.product_2378032,13.1,14.5,2.5,0.05
__import__.product_2378057,13.2,14.4,2.5,0.05
__import__.product_2378073,13.2,14.3,2,0.06
__import__.product_2378099,13.2,14.5,2.5,0.06
__import__.product_2378131,13.2,14.4,2.5,0.04
__import__.product_2385987,8.2,24.5,16,0.33
__import__.product_2386092,7.9,22.5,1.1,0.03
__import__.product_2407377,11.5,15,1.8,0.04
__import__.product_2413409,0,0,0,0.01
__import__.product_2430080,4.3,4.3,14.7,0.12
__import__.product_2430213,8.1,11.5,3.6,0.05
__import__.product_2440469,5.9,9.7,15.5,0.21
__import__.product_2440477,5.3,7.1,11.6,0.05
__import__.product_2457687,9.9,16.8,11.8,0.4
__import__.product_2457711,8.7,16.7,8.5,0.21
__import__.product_2488732,7.9,17.1,12.1,0.29
__import__.product_2488740,5.5,5.2,11.8,0.07
__import__.product_2488757,6.7,12.1,10.2,0.16
__import__.product_2511780,3.2,2.9,7.1,0.03
__import__.product_2511798,3.3,3,7,0.04
__import__.product_2520856,12.2,12.2,20.5,1.67
__import__.product_2548915,0,0,0,0.05
__import__.product_2549145,4.9,4.9,9.5,0.12
__import__.product_2549517,5,5,16.4,0.14
__import__.product_2552610,4.9,5,14.4,0.14
__import__.product_2554517,8.9,19.1,11.6,0.22
__import__.product_2563401,26.2,12.4,42.1,5
__import__.product_2568780,14,19.5,12,0.66
__import__.product_2572832,12,13.5,18,2.2
__import__.product_2578326,17.2,10,7.9,0.47
__import__.product_2581965,5.8,5.8,15.3,0.29
__import__.product_2582039,9.2,9.2,23,1.09
__import__.product_2598332,5.5,5.5,10.3,0.22
__import__.product_2604973,4.2,4.2,11.8,0.06
__import__.product_2605061,3.5,3.5,7,0.05
__import__.product_2612026,9,5.5,3.1,0.01
__import__.product_2612034,8.7,5.4,2.8,0.01
__import__.product_2612042,3.2,8.8,5.5,0.01
__import__.product_2612059,9,5.5,3.1,0.01
__import__.product_2612067,9,5.5,3.1,0.01
__import__.product_2612448,5.6,5.6,10.5,0.21
__import__.product_2619278,18.3,7,29.4,1.36
__import__.product_2633378,7,15.4,1.8,0.02
