id,indicated_price,length,weight,orderpoint_max,cnk_code,width,depth,orderpoint_min
__import__.product_7196555,44.50,43.00,5.00,93.000,0662155,29.60,10.00,30.000
__import__.product_7196621,45.50,43.00,5.00,18.000,0667238,29.60,10.00,10.000
__import__.product_7196822,45.50,43.00,5.00,64.000,0482885,29.60,10.00,30.000
__import__.product_7196934,64.50,43.00,5.00,177.000,0470971,29.60,10.00,51.000
__import__.product_7197017,65.50,43.00,5.00,148.000,0479477,29.60,10.00,66.000
__import__.product_7197069,66.50,43.00,5.00,124.000,0489692,29.60,10.00,36.000
__import__.product_7197106,66.50,43.00,5.00,68.000,0488700,29.60,10.00,25.000
