id,width,depth,length,default_code
__import__.product_0032417,0,0,0,0032417
__import__.product_0032912,0,0,0,0032912
__import__.product_0033019,0,0,0,0033019
__import__.product_0033050,0,0,0,0033050
__import__.product_0033282,0,0,0,0033282
__import__.product_0033530,0,0,0,0033530
__import__.product_0033548,0,0,0,0033548
__import__.product_0033571,0,0,0,0033571
__import__.product_0033795,0,0,0,0033795
__import__.product_0034058,0,0,0,0034058
__import__.product_0034100,0,0,0,0034100
__import__.product_0034280,0,0,0,0034280
__import__.product_0034637,0,0,0,0034637
__import__.product_0034686,2.80,5.70,2.80,0034686
__import__.product_0035000,0,0,0,0035000
__import__.product_0035030,0,0,0,0035030
__import__.product_0035434,0,0,0,0035434
__import__.product_0035469,0,0,0,0035469
__import__.product_0035600,0,0,0,0035600
__import__.product_0035725,0,0,0,0035725
__import__.product_0036517,0,0,0,0036517
__import__.product_0036566,0,0,0,0036566
__import__.product_0036632,0,0,0,0036632
__import__.product_0037333,6.60,1.60,15.70,0037333
__import__.product_0037457,0,0,0,0037457
__import__.product_0037473,0,0,0,0037473
__import__.product_0037556,0,0,0,0037556
__import__.product_0037754,3.10,6.80,3.10,0037754
__import__.product_0037770,0,0,0,0037770
__import__.product_0037820,0,0,0,0037820
__import__.product_0038224,0,0,0,0038224
__import__.product_0038521,0,0,0,0038521
__import__.product_0038715,0,0,0,0038715
__import__.product_0038716,0,0,0,0038716
__import__.product_0038717,0,0,0,0038717
__import__.product_0038719,0,0,0,0038719
__import__.product_0038720,0,0,0,0038720
__import__.product_0038927,0,0,0,0038927
__import__.product_0039123,0,0,0,0039123
__import__.product_0039669,0,0,0,0039669
__import__.product_0039834,0,0,0,0039834
__import__.product_0039859,14.00,1.70,18.50,0039859
__import__.product_0039883,9.00,4.90,14.80,0039883
__import__.product_0039917,0,0,0,0039917
__import__.product_0040162,0,0,0,0040162
__import__.product_0040295,0,0,0,0040295
__import__.product_0040345,0,0,0,0040345
__import__.product_0040394,0,0,0,0040394
__import__.product_0040451,0,0,0,0040451
__import__.product_0040766,0,0,0,0040766
__import__.product_0041863,0,0,0,0041863
__import__.product_0042168,0,0,0,0042168
__import__.product_0042267,3.80,8.30,5.70,0042267
__import__.product_0042390,0,0,0,0042390
__import__.product_0042500,0,0,0,0042500
__import__.product_0042523,0,0,0,0042523
__import__.product_0042564,0,0,0,0042564
__import__.product_0042754,0,0,0,0042754
__import__.product_0042762,0,0,0,0042762
__import__.product_0042887,0,0,0,0042887
__import__.product_0042952,0,0,0,0042952
__import__.product_0043026,0,0,0,0043026
__import__.product_0043299,0,0,0,0043299
__import__.product_0043471,0,0,0,0043471
__import__.product_0043711,0,0,0,0043711
__import__.product_0044180,0,0,0,0044180
__import__.product_0044230,0,0,0,0044230
__import__.product_0044248,0,0,0,0044248
__import__.product_0044545,0,0,0,0044545
__import__.product_0045856,0,0,0,0045856
__import__.product_0046128,0,0,0,0046128
__import__.product_0046946,0,0,0,0046946
__import__.product_0046987,0,0,0,0046987
__import__.product_0047142,0,0,0,0047142
__import__.product_0047167,0,0,0,0047167
__import__.product_0047365,0,0,0,0047365
__import__.product_0047522,6.40,13.80,6.40,0047522
__import__.product_0047597,0,0,0,0047597
__import__.product_0047639,7.10,24.30,9.40,0047639
__import__.product_0047894,0,0,0,0047894
__import__.product_0048042,0,0,0,0048042
__import__.product_0048043,0,0,0,0048043
__import__.product_0048132,0,0,0,0048132
__import__.product_0048219,0,0,0,0048219
__import__.product_0048230,0,0,0,0048230
__import__.product_0048234,0,0,0,0048234
__import__.product_0048235,0,0,0,0048235
__import__.product_0048237,0,0,0,0048237
__import__.product_0048248,0,0,0,0048248
__import__.product_0048296,0,0,0,0048296
__import__.product_0048363,0,0,0,0048363
__import__.product_0048462,0,0,0,0048462
__import__.product_0048463,0,0,0,0048463
__import__.product_0048557,0,0,0,0048557
__import__.product_0048586,0,0,0,0048586
__import__.product_0048587,0,0,0,0048587
__import__.product_0048596,0,0,0,0048596
__import__.product_0049049,0,0,0,0049049
__import__.product_0049122,0,0,0,0049122
__import__.product_0049130,0,0,0,0049130
__import__.product_0049478,6.50,13.50,6.50,0049478
__import__.product_0049479,5.50,3.90,17.20,0049479
__import__.product_0050237,0,0,0,0050237
__import__.product_0050435,6.80,22.90,6.80,0050435
