id,width,depth,length,orderpoint_max
__import__.product_5340923,0,0,0,2.000
__import__.product_5350126,5.60,6.00,13.90,1.000
__import__.product_5352046,0,0,0,1.000
__import__.product_5395370,0,0,0,1.000
__import__.product_5396645,0,0,0,1.000
__import__.product_5398503,18.50,12.50,30.60,1.000
__import__.product_5430510,5.00,2.40,12.00,1.000
__import__.product_5432001,11.00,18.00,6.50,1.000
__import__.product_5438059,0,0,0,1.000
__import__.product_5470003,0,0,0,1.000
__import__.product_5475470,0,0,0,1.000
__import__.product_5505004,6.50,20.70,6.50,10.000
__import__.product_5511810,0,0,0,1.000
__import__.product_5512010,11.20,21.60,4.90,1.000
__import__.product_5513520,0,0,0,1.000
__import__.product_5525446,0,0,0,1.000
__import__.product_5605135,0,0,0,1.000
__import__.product_5610503,11.70,12.60,11.70,1.000
__import__.product_5610506,6.50,17.50,12.50,1.000
__import__.product_5610560,0,0,0,1.000
__import__.product_5610586,16.00,16.00,24.00,1.000
__import__.product_5620009,0,0,0,1.000
__import__.product_5657052,0,0,0,2.000
__import__.product_5660000,0,0,0,24.000
__import__.product_5660001,0,0,0,24.000
__import__.product_5664400,0,0,0,1.000
__import__.product_5700002,0,0,0,1.000
__import__.product_5700005,0,0,0,1.000
__import__.product_5700023,0,0,0,10.000
__import__.product_5700028,0,0,0,10.000
__import__.product_5700030,0,0,0,10.000
__import__.product_5700041,0,0,0,1.000
__import__.product_5700042,0,0,0,1.000
__import__.product_5700043,0,0,0,1.000
__import__.product_5700045,0,0,0,1.000
__import__.product_5700046,0,0,0,1.000
__import__.product_5700047,0,0,0,1.000
__import__.product_5700048,0,0,0,1.000
__import__.product_5700053,0,0,0,1.000
__import__.product_5700057,0,0,0,1.000
__import__.product_5721440,0,0,0,1.000
__import__.product_5726580,0,0,0,1.000
__import__.product_5727936,0,0,0,1.000
__import__.product_5736881,0,0,0,2.000
__import__.product_5740261,0,0,0,1.000
__import__.product_5742907,0,0,0,1.000
__import__.product_5760312,0,0,0,1.000
__import__.product_5760319,0,0,0,1.000
__import__.product_5760320,0,0,0,1.000
__import__.product_5760322,0,0,0,1.000
__import__.product_5760329,0,0,0,1.000
__import__.product_5760360,0,0,0,1.000
__import__.product_5760363,0,0,0,1.000
__import__.product_5760366,0,0,0,1.000
__import__.product_5760371,0,0,0,1.000
__import__.product_5761016,0,0,0,1.000
__import__.product_5774677,19.30,5.20,57.00,1.000
__import__.product_5776181,10.80,7.80,16.40,1.000
__import__.product_5776195,0,0,0,1.000
__import__.product_5776196,0,0,0,1.000
__import__.product_5791040,0,0,0,2.000
