id,cnk_code,weight,orderpoint_max,length,width,depth,orderpoint_min
__import__.product_6350317,0834564,0.14,59.000,4.80,4.90,10.10,18.000
__import__.product_6350320,0060038,0.14,145.000,5.00,5.00,10.80,100.000
__import__.product_6830005,0644310,0.02,692.000,9.70,6.90,1.70,250.000
__import__.product_8270104,0668640,0.20,239.000,5.20,5.20,9.70,120.000
__import__.product_8270123,0848051,0.60,134.000,11.50,11.50,12.20,36.000
__import__.product_8330011,0668236,0.20,407.000,5.20,5.20,9.70,180.000
