id,length,width,depth,list_price,indicated_price
__import__.product_5259849,0,0,0,20.00,30.00
__import__.product_5259851,0,0,0,28.00,42.00
__import__.product_5259853,0,0,0,28.00,42.00
__import__.product_5259861,0,0,0,28.00,42.00
__import__.product_5259863,0,0,0,20.00,30.00
__import__.product_5259866,0,0,0,30.00,45.00
__import__.product_5259867,0,0,0,23.00,34.00
__import__.product_5259876,0,0,0,10.00,15.00
__import__.product_5260004,31.00,25.60,9.80,18.90,33.00
__import__.product_5267008,20.00,5.00,3.50,15.10,26.50
__import__.product_5291240,0,0,0,6.20,4.00
__import__.product_5301001,0,0,0,6.70,10.30
__import__.product_5320145,0,0,0,5.00,9999999999.99
__import__.product_5329150,0,0,0,932.40,1635.90
__import__.product_5331012,0,0,0,14.70,25.80
__import__.product_5361785,0,0,0,12.00,21.00
__import__.product_5361786,0,0,0,12.00,21.00
__import__.product_5361787,0,0,0,13.20,22.80
__import__.product_5361788,0,0,0,12.00,21.00
__import__.product_5365138,0,0,0,12.00,21.00
__import__.product_5365146,0,0,0,12.00,21.00
__import__.product_5509300,0,0,0,288.00,505.30
__import__.product_5611502,0,0,0,15.00,30.00
__import__.product_5611503,0,0,0,27.00,54.00
__import__.product_5611504,0,0,0,7.50,15.00
__import__.product_5611505,0,0,0,7.50,15.00
__import__.product_5611506,0,0,0,16.00,32.00
__import__.product_5611507,0,0,0,29.00,58.00
__import__.product_5611511,0,0,0,21.00,42.00
__import__.product_5611514,0,0,0,29.00,58.00
__import__.product_5611516,0,0,0,14.00,28.00
__import__.product_5611517,0,0,0,23.00,46.00
__import__.product_5611521,0,0,0,27.00,54.00
__import__.product_5611523,0,0,0,16.00,32.00
__import__.product_5611524,0,0,0,29.00,58.00
__import__.product_5611525,0,0,0,13.00,26.00
__import__.product_5611527,0,0,0,15.00,30.00
__import__.product_5611528,0,0,0,27.00,54.00
__import__.product_5611531,0,0,0,15.00,30.00
__import__.product_5611532,0,0,0,27.00,54.00
__import__.product_5611535,0,0,0,16.00,32.00
__import__.product_5611536,0,0,0,29.00,58.00
__import__.product_5611537,0,0,0,15.00,32.00
__import__.product_5611538,0,0,0,27.00,58.00
__import__.product_5611540,0,0,0,15.00,30.00
__import__.product_5611541,0,0,0,27.00,54.00
__import__.product_5611545,0,0,0,12.00,24.00
__import__.product_5611547,0,0,0,15.00,30.00
__import__.product_5611548,0,0,0,27.00,54.00
__import__.product_5611550,0,0,0,16.00,32.00
__import__.product_5611551,0,0,0,29.00,58.00
__import__.product_5611553,0,0,0,16.00,32.00
__import__.product_5611554,0,0,0,29.00,58.00
