id,belgium_only
__import__.product_5315403,1
__import__.product_5311502,1
__import__.product_5311501,1
__import__.product_5311001,1
__import__.product_5311003,1
__import__.product_5311009,1
__import__.product_5310512,1
__import__.product_5310501,1
__import__.product_5010501,1
__import__.product_5010509,1
__import__.product_5310103,1
__import__.product_5310107,1
__import__.product_5016001,1
__import__.product_5362012,1
__import__.product_5362002,1
__import__.product_5365002,1
__import__.product_5365007,1
__import__.product_5364001,1
__import__.product_5364000,1
__import__.product_5361785,1
__import__.product_5361787,1
__import__.product_5317839,1
__import__.product_5361786,1
__import__.product_5317599,1
__import__.product_5361760,1
__import__.product_5203010,1
__import__.product_5317639,1
__import__.product_5361790,1
__import__.product_5317679,1
__import__.product_5317669,1
__import__.product_5219007,1
__import__.product_5317740,1
__import__.product_5317749,1
__import__.product_5361775,1
__import__.product_5317979,1
__import__.product_5361797,1
__import__.product_5317989,1
__import__.product_6964331,1
__import__.product_6943464,1
__import__.product_6846910,1
__import__.product_6933394,1
__import__.product_6775630,1
__import__.product_6921474,1
__import__.product_6765548,1
__import__.product_6987869,1
__import__.product_8825728,1
__import__.product_6771098,1
__import__.product_6723449,1
__import__.product_6792686,1
__import__.product_5512029,1
__import__.product_5322100,1
__import__.product_5322020,1
__import__.product_5322004,1
__import__.product_5322040,1
__import__.product_5317020,1
__import__.product_6943725,1
__import__.product_9512010,1
__import__.product_6754579,1
__import__.product_9512048,1
__import__.product_6889115,1
__import__.product_6948728,1
__import__.product_6996124,1
__import__.product_6770644,1
__import__.product_5427500,1
__import__.product_6838922,1
__import__.product_6838916,1
__import__.product_6728458,1
__import__.product_5912000,1
__import__.product_6891595,1
__import__.product_6857888,1
__import__.product_6799866,1
__import__.product_5512036,1
__import__.product_5512034,1
__import__.product_6735694,1
__import__.product_6781470,1
__import__.product_6851957,1
__import__.product_8112081,1
__import__.product_8114944,1
__import__.product_5335500,1
__import__.product_5097275,1
__import__.product_1813620,1
__import__.product_1813630,1
__import__.product_8134415,1
__import__.product_5512038,1
__import__.product_8135231,1
__import__.product_6906948,1
__import__.product_1819790,1
__import__.product_8095566,1
__import__.product_6701991,1
__import__.product_6971489,1
__import__.product_6787343,1
__import__.product_8122576,1
__import__.product_8131799,1
__import__.product_6864888,1
__import__.product_6733353,1
__import__.product_6987591,1
__import__.product_5512035,1
__import__.product_6943524,1
__import__.product_6903200,1
__import__.product_6742642,1
__import__.product_8467973,1
__import__.product_6783279,1
__import__.product_6775647,1
__import__.product_6743877,1
__import__.product_6713592,1
__import__.product_6725224,1
__import__.product_6964199,1
__import__.product_6964207,1
__import__.product_6756667,1
__import__.product_8105508,1
__import__.product_6992801,1
__import__.product_6914095,1
__import__.product_6989437,1
__import__.product_6848234,1
__import__.product_6764974,1
__import__.product_6775825,1
__import__.product_6741737,1
__import__.product_6781435,1
__import__.product_6781429,1
__import__.product_6786160,1
__import__.product_8128627,1
__import__.product_8128610,1
__import__.product_6724710,1
__import__.product_6740904,1
__import__.product_6756911,1
__import__.product_6905825,1
__import__.product_6777356,1
__import__.product_6962823,1
__import__.product_6778835,1
__import__.product_5043401,1
__import__.product_8115731,1
__import__.product_8115725,1
__import__.product_6954692,1
__import__.product_6775854,1
__import__.product_6789537,1
__import__.product_6728524,1
__import__.product_6728470,1
__import__.product_6969624,1
__import__.product_6724526,1
__import__.product_8105218,1
__import__.product_6964070,1
__import__.product_6954350,1
__import__.product_5758800,1
__import__.product_6742872,1
__import__.product_6964182,1
__import__.product_6976127,1
__import__.product_8135165,1
__import__.product_1805270,1
__import__.product_1804050,1
__import__.product_1808540,1
__import__.product_1810460,1
__import__.product_1811590,1
__import__.product_1811600,1
__import__.product_8108234,1
__import__.product_6964383,1
__import__.product_5017740,1
__import__.product_5427505,1
__import__.product_5427506,1
__import__.product_5054807,1
__import__.product_1808530,1
__import__.product_5042201,1
__import__.product_5152445,1
__import__.product_6731029,1
__import__.product_5512018,1
__import__.product_9512049,1
__import__.product_9512057,1
__import__.product_6837354,1
__import__.product_5512024,1
__import__.product_6993551,1
__import__.product_5135351,1
__import__.product_6759341,1
__import__.product_6964265,1
__import__.product_8079550,1
__import__.product_8079923,1
__import__.product_8079946,1
__import__.product_8090103,1
__import__.product_6859947,1
__import__.product_5318100,1
__import__.product_6829395,1
__import__.product_6987881,1
__import__.product_5354030,1
__import__.product_5340014,1
