id,product_code
__import__.supplierinfo_79192-8200431,07026
__import__.supplierinfo_79192-8200448,07027
__import__.supplierinfo_79192-8200454,07028
__import__.supplierinfo_79192-8200460,07029
__import__.supplierinfo_79192-8200477,07030
__import__.supplierinfo_79192-8200483,07031
__import__.supplierinfo_79192-8200508,07032
__import__.supplierinfo_79192-8200514,07033
__import__.supplierinfo_79192-8200520,07034
__import__.supplierinfo_79192-8200537,07035
__import__.supplierinfo_79192-8200543,07036
__import__.supplierinfo_79192-8200566,07037
__import__.supplierinfo_79192-8200572,07038
__import__.supplierinfo_79192-8200715,07051
__import__.supplierinfo_79192-8200721,07052
__import__.supplierinfo_79192-8200804,07059
__import__.supplierinfo_79192-8200891,02804
__import__.supplierinfo_79192-8200916,02805
__import__.supplierinfo_79192-8200922,02806
__import__.supplierinfo_79192-8200939,02807
__import__.supplierinfo_79192-8200945,02808
__import__.supplierinfo_79192-8200951,02809
__import__.supplierinfo_79192-8200968,02810
__import__.supplierinfo_79192-8200974,02812
__import__.supplierinfo_79192-8200980,07067
__import__.supplierinfo_79192-8200997,07068
__import__.supplierinfo_79192-8201005,01941
__import__.supplierinfo_79192-8201011,01942
__import__.supplierinfo_79192-8201028,01943
__import__.supplierinfo_79192-8201034,01944
__import__.supplierinfo_79192-8201040,01945
__import__.supplierinfo_79192-8201057,01946
__import__.supplierinfo_79192-8201063,01947
__import__.supplierinfo_79192-8201086,01948
__import__.supplierinfo_79192-8201092,01949
__import__.supplierinfo_79192-8201100,07071
__import__.supplierinfo_79192-8201117,07072
__import__.supplierinfo_79192-8201123,07073
__import__.supplierinfo_79192-8201146,07074
__import__.supplierinfo_79192-8201152,07075
__import__.supplierinfo_79192-8211529,07000
__import__.supplierinfo_79192-8211535,07057
__import__.supplierinfo_79192-8215361,04363
__import__.supplierinfo_79192-8224839,04277
__import__.supplierinfo_79192-8224845,04278
__import__.supplierinfo_79192-8224851,04279
__import__.supplierinfo_79192-8224868,04280
__import__.supplierinfo_79192-8224880,04282
__import__.supplierinfo_79192-8224897,04281
__import__.supplierinfo_79192-8228754,04464
__import__.supplierinfo_79192-8231874,04522
__import__.supplierinfo_79192-8233927,02312
__import__.supplierinfo_79192-8237428,07140
__import__.supplierinfo_79192-8237434,07139
__import__.supplierinfo_79192-8237440,07135
__import__.supplierinfo_79192-8237457,07136
__import__.supplierinfo_79192-8238735,02939
__import__.supplierinfo_79192-8238741,02938
__import__.supplierinfo_79192-8258034,07185
__import__.supplierinfo_79192-8352424,01034
__import__.supplierinfo_79192-8369124,02064
__import__.supplierinfo_79192-8369615,02813
__import__.supplierinfo_79192-8371730,01889
__import__.supplierinfo_79192-8371747,01890
__import__.supplierinfo_79192-8371753,01891
__import__.supplierinfo_79192-8371776,01892
__import__.supplierinfo_79192-8371782,01893
__import__.supplierinfo_79192-8371799,01894
__import__.supplierinfo_79192-8371807,01895
__import__.supplierinfo_79192-8371813,'01896
__import__.supplierinfo_79192-8371871,02593
__import__.supplierinfo_79192-8371888,02592
__import__.supplierinfo_79192-8372706,1587
__import__.supplierinfo_79192-8373249,01194
__import__.supplierinfo_79192-8373261,01186
__import__.supplierinfo_79192-8373290,01188
__import__.supplierinfo_79192-8373309,01190
__import__.supplierinfo_79192-8373315,01192
__import__.supplierinfo_79192-8373611,02339
__import__.supplierinfo_79192-8375739,01103
__import__.supplierinfo_79192-8376029,01100
__import__.supplierinfo_79192-8376035,01601
__import__.supplierinfo_79192-8376041,01602
__import__.supplierinfo_79192-8376064,01043
__import__.supplierinfo_79192-8376070,01044
__import__.supplierinfo_79192-8376087,01045
__import__.supplierinfo_79192-8376093,01046
__import__.supplierinfo_79192-8376101,01047
__import__.supplierinfo_79192-8376118,01048
__import__.supplierinfo_79192-8376124,01049
__import__.supplierinfo_79192-8376130,01050
__import__.supplierinfo_79192-8376147,01051
__import__.supplierinfo_79192-8376153,01052
__import__.supplierinfo_79192-8376176,01053
__import__.supplierinfo_79192-8376182,01054
__import__.supplierinfo_79192-8376199,01055
__import__.supplierinfo_79192-8376207,01056
__import__.supplierinfo_79192-8376213,01057
__import__.supplierinfo_79192-8376236,01058
__import__.supplierinfo_79192-8376242,01059
__import__.supplierinfo_79192-8376259,01060
__import__.supplierinfo_79192-8376265,01061
__import__.supplierinfo_79192-8376271,01062
__import__.supplierinfo_79192-8376288,01063
__import__.supplierinfo_79192-8376294,01064
__import__.supplierinfo_79192-8376302,01065
__import__.supplierinfo_79192-8376319,01066
__import__.supplierinfo_79192-8376325,01067
__import__.supplierinfo_79192-8376331,01068
__import__.supplierinfo_79192-8376348,01069
__import__.supplierinfo_79192-8376354,01070
__import__.supplierinfo_79192-8376360,01071
__import__.supplierinfo_79192-8376377,01072
__import__.supplierinfo_79192-8376383,01073
__import__.supplierinfo_79192-8376408,01074
__import__.supplierinfo_79192-8382113,01615
__import__.supplierinfo_79192-8382159,01616
__import__.supplierinfo_79192-8388558,01453
__import__.supplierinfo_79192-8388831,01656
__import__.supplierinfo_79200-5012616,16150126
__import__.supplierinfo_79200-5016310,16350130
__import__.supplierinfo_79200-5016336,16351436
__import__.supplierinfo_79200-5021516,16151516
__import__.supplierinfo_79200-5021519,16201519
__import__.supplierinfo_79200-5021621,16100117
__import__.supplierinfo_79200-5021626,16300126
__import__.supplierinfo_79200-5021628,16200122
__import__.supplierinfo_79200-5021630,16200130
__import__.supplierinfo_79200-5022026,16201526
__import__.supplierinfo_79200-5023026,16301526
__import__.supplierinfo_79200-5130126,13300126
__import__.supplierinfo_79200-5132126,13200126
__import__.supplierinfo_79200-5134016,13071512
__import__.supplierinfo_79200-5134036,13401436
__import__.supplierinfo_79200-5134540,13401540
__import__.supplierinfo_79200-5135017,13100117
__import__.supplierinfo_79200-5135019,13101519
__import__.supplierinfo_79200-5135022,13150122
__import__.supplierinfo_79200-5135540,13501540
__import__.supplierinfo_79200-5160512,16101512P
__import__.supplierinfo_79200-5161512,16151512P
__import__.supplierinfo_79200-5163516,16350136
__import__.supplierinfo_79200-5164016,16400136
__import__.supplierinfo_79200-5167113,16070113
__import__.supplierinfo_79200-5320512,13101512
__import__.supplierinfo_79200-5320519,13201519
__import__.supplierinfo_79200-5320524,13201524
__import__.supplierinfo_79200-5330130,13350130
__import__.supplierinfo_79200-5330136,13350136
__import__.supplierinfo_79200-5335436,13351436
__import__.supplierinfo_79200-5351524,13351524
__import__.supplierinfo_79200-5910004,15300122
__import__.supplierinfo_79200-5910005,15350126
__import__.supplierinfo_79200-5910006,15400130
__import__.supplierinfo_79200-5910021,15101519
__import__.supplierinfo_79200-5910022,15151519
__import__.supplierinfo_79200-5910023,15201519
__import__.supplierinfo_79200-5910027,15101512
__import__.supplierinfo_79200-5910030,15301530
__import__.supplierinfo_79200-5910039,15070113
__import__.supplierinfo_79200-5910136,15401540
__import__.supplierinfo_79200-5911023,15201524
__import__.supplierinfo_79200-5911025,15351536
__import__.supplierinfo_79200-5912017,15200117
__import__.supplierinfo_79200-5931440,15501440
__import__.supplierinfo_79200-8213712,13400140
__import__.supplierinfo_79462-7429068,SV-1187-20
__import__.supplierinfo_79462-8024885,SV-12222-31
__import__.supplierinfo_82701-2710762,F12710L
__import__.supplierinfo_82701-2764751,F12820Y
__import__.supplierinfo_82936-5082200,
__import__.supplierinfo_83322-5803920,3050030092
