id,price,product_code
__import__.supplierinfo_79100-3410008,58.35,F44040E
__import__.supplierinfo_79100-3410156,48.89,C67010B
__import__.supplierinfo_79100-3550472,6.60,F03911D
__import__.supplierinfo_79100-3550498,5.79,F04410Y
__import__.supplierinfo_79100-7420028,60.77,E90630N
__import__.supplierinfo_79100-7910011,54.91,83415B
__import__.supplierinfo_79100-7910041,18.00,C07850B
__import__.supplierinfo_79100-7910047,4.69,D44410R
__import__.supplierinfo_79100-7910048,5.48,D44420R
__import__.supplierinfo_79100-7910050,6.01,D44430K
__import__.supplierinfo_79100-7910055,14.72,D38310K
__import__.supplierinfo_79152-5275011,79.90,5011
__import__.supplierinfo_79152-8069267,17.19,8110
__import__.supplierinfo_79152-8290500,49.56,1965
__import__.supplierinfo_79152-8290523,204.00,1935
__import__.supplierinfo_79152-8292226,229.50,1937
__import__.supplierinfo_79152-8292284,81.86,1944
__import__.supplierinfo_79152-8292290,63.75,1945
__import__.supplierinfo_79152-8292309,63.75,1946
__import__.supplierinfo_79152-8292315,63.75,1947
__import__.supplierinfo_79152-8292321,63.75,1948
__import__.supplierinfo_79152-8292338,63.75,1949
__import__.supplierinfo_79152-8292344,63.75,1950
__import__.supplierinfo_79152-8292350,63.75,1951
__import__.supplierinfo_79152-8292367,63.75,1952
__import__.supplierinfo_79152-8292373,63.75,1953
__import__.supplierinfo_79152-8292396,63.75,1954
__import__.supplierinfo_79152-8292404,63.75,1955
__import__.supplierinfo_79152-8292427,63.75,1957
__import__.supplierinfo_79152-8292456,63.75,1959
__import__.supplierinfo_79152-8292462,63.75,1960
__import__.supplierinfo_79152-8292479,63.75,1961
__import__.supplierinfo_79152-8292485,63.75,1962
__import__.supplierinfo_79152-8292491,63.75,1963
__import__.supplierinfo_79152-8292516,104.55,1964
__import__.supplierinfo_79192-5000719,20.10,00719
__import__.supplierinfo_79192-5001037,4.10,01037
__import__.supplierinfo_79192-5001465,32.90,01465
__import__.supplierinfo_79192-5001480,137.15,01480
__import__.supplierinfo_79192-5001619,28.00,01619
__import__.supplierinfo_79192-5001620,28.00,01620
__import__.supplierinfo_79192-5001621,32.00,01621
__import__.supplierinfo_79192-5001622,32.00,01622
__import__.supplierinfo_79192-5001623,32.00,01623
__import__.supplierinfo_79192-5002059,142.20,02059
__import__.supplierinfo_79192-5002313,44.38,02313
__import__.supplierinfo_79192-5003197,6.44,03197
__import__.supplierinfo_79192-5003480,7.35,03480
__import__.supplierinfo_79192-5003481,7.30,03481
__import__.supplierinfo_79192-5003482,7.35,03482
__import__.supplierinfo_79192-5003973,73.40,03973
__import__.supplierinfo_79192-5007143,57.30,07143
__import__.supplierinfo_79192-5007144,57.30,07144
__import__.supplierinfo_79192-5007145,57.30,07145
__import__.supplierinfo_79192-5116100,10.70,01161
__import__.supplierinfo_79192-5116200,10.70,01162
__import__.supplierinfo_79192-5551027,4.10,01027
__import__.supplierinfo_79192-5551028,4.10,01028
__import__.supplierinfo_79192-5551029,4.10,01029
__import__.supplierinfo_79192-5551030,4.10,01030
__import__.supplierinfo_79192-5551031,4.10,01031
__import__.supplierinfo_79192-5551032,4.10,01032
__import__.supplierinfo_79192-5551039,4.10,01039
__import__.supplierinfo_79192-5551042,4.10,01042
__import__.supplierinfo_79192-5552614,5.30,02614
__import__.supplierinfo_79192-5791330,58.10,01330
__import__.supplierinfo_79192-8181030,15.50,SE-6.034.20
__import__.supplierinfo_79192-8181047,15.50,SE-6.034.15
__import__.supplierinfo_79192-8181366,36.80,02516
__import__.supplierinfo_79192-8181372,34.45,02513
__import__.supplierinfo_79192-8182472,15.50,SE-6.034.12
__import__.supplierinfo_79192-8182495,551.35,01387
__import__.supplierinfo_79192-8182584,138.05,01222
__import__.supplierinfo_79192-8182851,44.75,01977
__import__.supplierinfo_79192-8183112,79.80,00671
__import__.supplierinfo_79192-8183425,15.50,SE-6.034.10
__import__.supplierinfo_79192-8184376,18.70,03524
__import__.supplierinfo_79192-8184382,18.95,03525
__import__.supplierinfo_79192-8184399,23.35,03526
__import__.supplierinfo_79192-8184407,61.25,03658
__import__.supplierinfo_79192-8184413,61.25,03657
