id,active,name,categ_id/id
__import__.product_5742901,False,"TUYAU SILIC ASPIRATEUR 2,5m DIA13/9mm",specific_data.product_categ__mat_equipement
__import__.product_5750201,False,USE UNISEXE REVERS POCHE COEUR GRIS M,specific_data.product_categ__mat_equipement
__import__.product_5755100,False,SEAUX CHIR. ESTHETIQUE DROITS TC 15cm,specific_data.product_categ__mat_instrumentation
__import__.product_5801152,False,PINCE ADSON BROWN 153mm,specific_data.product_categ__mat_ortho
__import__.product_5808966,False,"VETESSENTIALS FELINE MATURE 6,5KG",specific_data.product_categ__ali_physio
__import__.product_5810039,False,METABOLIC+MOBILITY CANIN 12KG PROMO/,specific_data.product_categ__ali_dietetique
__import__.product_5823227,False,IDEAL BALANCE FELINE MATURE ADULT,specific_data.product_categ__ali_physio
__import__.product_5827648,False,"CANINE LIGHT ADULT 14,5KG POULET(12+",specific_data.product_categ__ali_physio
__import__.product_5829262,False,"CANINE SENIOR LARGE BREED 14,5KG(12+",specific_data.product_categ__ali_physio
__import__.product_5852521,False,LASER CHIRURGICAL CO2 25W BRAS ARTIC,specific_data.product_categ__mat_equipement
__import__.product_6040201,False,ENDEUR MINIBLOC O2 1-15l SELECTAFLO,specific_data.product_categ__mat_cardio
__import__.product_6042561,False,ENDEUR AIR COMPRIME 200 A 3BARS I1561,specific_data.product_categ__mat_cardio
__import__.product_6277023,False,THETER VASOFIX FEP W+P 18Gx1 3/4 VERT,specific_data.product_categ__mat_conso
__import__.product_6600843,False,ELEKTROS 400GR,specific_data.product_categ__ali_comp
__import__.product_6632150,False,PAIRE DE TROCARTS (1 POINTU-1 EMOUSSE),specific_data.product_categ__mat_instrumentation
__import__.product_8000293,False,AIGUILLE TERUMO 22Gx1 1/4 32mm(100),specific_data.product_categ__mat_conso
__import__.product_8023696,False,SONDE LACRYMALE INOX COURBE 15mm 0,specific_data.product_categ__mat_instrumentation
__import__.product_8028096,False,GNE+CONTRE PEIGNE 13DTS OSTER SHEAR.,specific_data.product_categ__mat_equipement
__import__.product_8028104,False,GNE+CONTRE PEIGNE 33DTS OSTER MASTER,specific_data.product_categ__mat_equipement
__import__.product_8029960,False,"MANCHE RECHARGEABLE SECTEUR 3,5V H",specific_data.product_categ__mat_equipement
__import__.product_8032382,False,LAMPE DE WOOD LOUPE TETE RECTANGULAIRE,specific_data.product_categ__mat_equipement
__import__.product_8058789,False,TONDEUSE EQUIN 31 DENTS GT474 AESC,specific_data.product_categ__mat_equipement
__import__.product_8187742,False,SOFTCLAWS KIT MAISON CHAT SMALL TRANSP,specific_data.product_categ__mat_petshop
__import__.product_8187788,False,SOFTCLAWS KIT MAISON CHAT LARGE TR,specific_data.product_categ__mat_petshop
__import__.product_8188954,False,SACHET NON ADHESIF AUTOC. 160x350mm,specific_data.product_categ__mat_conso
__import__.product_8206899,False,PRIMVERT PASTILLES TABLETTE LV 16Gx150,__temp__.product_categ_undefined
__import__.product_8217414,False,"UILLE MC LINTOCK SCHIMMEL 0,7X8mm x20",specific_data.product_categ__mat_conso
__import__.product_8224905,False,CABLE BIPOL ICC80-200 4m FICHE PLATE,specific_data.product_categ__mat_equipement
__import__.product_8234447,False,IQUE FLORENCE F TURQUOISE/BLC T40/42,specific_data.product_categ__mat_equipement
__import__.product_8245250,False,SOFTCLAWS KIT MAISON CHAT MEDIUM R,specific_data.product_categ__mat_petshop
__import__.product_8250682,False,SAC SMART TROLLEY CITY NOIR 32X29X52CM,specific_data.product_categ__mat_petshop
__import__.product_8251368,False,COUSSIN AUTO CHAUFFANT OSTER 74x92cm,specific_data.product_categ__mat_petshop
__import__.product_8253870,False,OXBOW FRIANDISE LAVANDE/CAMOMILLE,specific_data.product_categ__ali_physio
__import__.product_8259501,False,ECTOSPRAY 250ML VAPO,specific_data.product_categ__phytosanitaires
__import__.product_8270141,False,TETE DE SERINGUE STERILE BOVIVET (100),specific_data.product_categ__mat_conso
__import__.product_8270150,False,AIGUILLE TERUMO 27Gx3/4 19mm(100),specific_data.product_categ__mat_conso
__import__.product_8292433,False,SPOTCHEM EZ HEMOGLOBINE (dilué) 25p,specific_data.product_categ__mat_conso
__import__.product_8338626,False,"COLORATION RAL 555 BLEU METHYLENE 2,5l",specific_data.product_categ__mat_conso
__import__.product_8338693,False,HET NON ADHESIF AUTOC. 200x390mm x250,specific_data.product_categ__mat_conso
__import__.product_8358770,False,CABLE BIPOL ICC80-200 4m FICHE RONDE,specific_data.product_categ__mat_equipement
__import__.product_8383756,False,TEUR ACCUTREND PLUS GYC/CHOL/LACTATE,specific_data.product_categ__mat_equipement
__import__.product_8408723,False,VATEUR BOVIN VACHE LAITIERE max900kg,specific_data.product_categ__mat_rurale
__import__.product_8484730,False,"E FIL LA SUEDOISE ROULEAU 12m D.1,6mm",specific_data.product_categ__mat_instrumentation
