id,route_ids/id,categ_id/id
__import__.product_8209604,"stock.route_warehouse0_mto,purchase.route_warehouse0_buy",specific_data.product_categ__mat_instrumentation
__import__.product_8211274,"stock.route_warehouse0_mto,purchase.route_warehouse0_buy",specific_data.product_categ__mat_conso
__import__.product_8213994,purchase.route_warehouse0_buy,specific_data.product_categ__mat_cardio
__import__.product_8214249,purchase.route_warehouse0_buy,specific_data.product_categ__mat_dentisterie
__import__.product_8222409,purchase.route_warehouse0_buy,specific_data.product_categ__mat_petshop
__import__.product_8232247,purchase.route_warehouse0_buy,specific_data.product_categ__mat_conso
__import__.product_8233117,purchase.route_warehouse0_buy,specific_data.product_categ__mat_conso
__import__.product_8248567,purchase.route_warehouse0_buy,specific_data.product_categ__mat_conso
__import__.product_8248610,purchase.route_warehouse0_buy,specific_data.product_categ__mat_conso
__import__.product_8248627,purchase.route_warehouse0_buy,specific_data.product_categ__mat_conso
__import__.product_8257537,"stock.route_warehouse0_mto,purchase.route_warehouse0_buy",specific_data.product_categ__mat_cardio
__import__.product_8259335,purchase.route_warehouse0_buy,specific_data.product_categ__mat_equipement
__import__.product_8280849,purchase.route_warehouse0_buy,specific_data.product_categ__mat_dentisterie
__import__.product_8286303,purchase.route_warehouse0_buy,specific_data.product_categ__mat_petshop
__import__.product_8294656,purchase.route_warehouse0_buy,specific_data.product_categ__mat_conso
__import__.product_8298766,"stock.route_warehouse0_mto,purchase.route_warehouse0_buy",specific_data.product_categ__mat_ortho
__import__.product_8352661,purchase.route_warehouse0_buy,specific_data.product_categ__mat_conso
__import__.product_8365416,purchase.route_warehouse0_buy,specific_data.product_categ__mat_conso
__import__.product_8379921,purchase.route_warehouse0_buy,specific_data.product_categ__mat_ortho
__import__.product_8380545,purchase.route_warehouse0_buy,specific_data.product_categ__mat_ortho
__import__.product_8380798,purchase.route_warehouse0_buy,specific_data.product_categ__mat_dentisterie
__import__.product_8382998,purchase.route_warehouse0_buy,specific_data.product_categ__mat_conso
__import__.product_8384767,purchase.route_warehouse0_buy,specific_data.product_categ__mat_conso
__import__.product_8389753,purchase.route_warehouse0_buy,specific_data.product_categ__mat_conso
__import__.product_8425147,purchase.route_warehouse0_buy,specific_data.product_categ__mat_equipement
__import__.product_8430094,purchase.route_warehouse0_buy,specific_data.product_categ__mat_sutures
__import__.product_8430272,purchase.route_warehouse0_buy,specific_data.product_categ__mat_conso
__import__.product_8481890,purchase.route_warehouse0_buy,specific_data.product_categ__mat_sutures
